partition,nodes,edges,size,,avg,max,min,median,std
0,26,134,10208,nodes,70.02380952,82,25,71,9.276155031
1,60,140,10228,edges,41.13095238,149,2,37,26.32027091
2,62,104,10124,size,10097.7619,10240,3124,10184,766.2649924
3,64,69,10176,,,,,,
4,64,58,10204,,edge-cut-ratio,local buffer size,# partition,,
5,68,59,10144,,0.903,10240,84,,
6,69,76,10132,,,,,,
7,67,53,10164,,,,,,
8,63,46,10216,,,,,,
9,71,50,10160,,,,,,
10,70,30,10132,,,,,,
11,74,45,10236,,,,,,
12,75,50,10196,,,,,,
13,71,70,10204,,,,,,
14,64,33,10240,,,,,,
15,74,49,10148,,,,,,
16,76,39,10240,,,,,,
17,73,40,10132,,,,,,
18,73,48,10140,,,,,,
19,59,65,10240,,,,,,
20,70,41,10200,,,,,,
21,69,50,10236,,,,,,
22,67,64,10136,,,,,,
23,69,37,10156,,,,,,
24,66,44,10188,,,,,,
25,67,57,10172,,,,,,
26,60,33,10212,,,,,,
27,68,45,10132,,,,,,
28,67,42,10200,,,,,,
29,62,29,10216,,,,,,
30,63,47,10196,,,,,,
31,60,42,10152,,,,,,
32,69,40,10212,,,,,,
33,64,37,10144,,,,,,
34,70,24,10136,,,,,,
35,72,34,10240,,,,,,
36,76,21,10148,,,,,,
37,74,68,10184,,,,,,
38,52,43,10144,,,,,,
39,77,75,10216,,,,,,
40,71,43,10148,,,,,,
41,71,36,10216,,,,,,
42,71,24,10160,,,,,,
43,72,16,10156,,,,,,
44,76,16,10188,,,,,,
45,71,14,10188,,,,,,
46,76,36,10224,,,,,,
47,77,18,10232,,,,,,
48,77,11,10152,,,,,,
49,71,13,10156,,,,,,
50,73,45,10128,,,,,,
51,75,20,10144,,,,,,
52,71,29,10128,,,,,,
53,61,52,10220,,,,,,
54,63,26,10188,,,,,,
55,70,31,10208,,,,,,
56,75,22,10196,,,,,,
57,73,25,10160,,,,,,
58,75,13,10124,,,,,,
59,62,35,10144,,,,,,
60,75,38,10220,,,,,,
61,68,21,10232,,,,,,
62,73,23,10172,,,,,,
63,76,29,10212,,,,,,
64,67,50,10200,,,,,,
65,70,25,10152,,,,,,
66,70,149,10204,,,,,,
67,80,20,10240,,,,,,
68,77,24,10148,,,,,,
69,76,49,10208,,,,,,
70,79,36,10160,,,,,,
71,77,67,10132,,,,,,
72,81,9,10180,,,,,,
73,78,43,10160,,,,,,
74,80,20,10164,,,,,,
75,80,22,10204,,,,,,
76,77,30,10188,,,,,,
77,76,42,10212,,,,,,
78,77,30,10236,,,,,,
79,80,18,10184,,,,,,
80,82,15,10172,,,,,,
81,81,12,10184,,,,,,
82,81,25,10180,,,,,,
83,25,2,3124,,,,,,
