partition,nodes,edges,size,,avg,max,min,median,std
0,132,4054,51188,nodes,104.3027523,350,36,89,58.19210587
1,85,1637,51084,edges,1938.348624,4781,410,1784,1033.832457
2,78,2575,51100,size,50996.22018,51200,35008,51148,1538.878976
3,116,3658,51196,,,,,,
4,55,892,51096,,edge-cut-ratio,local buffer size,# partition,,
5,50,777,51112,,0.799,51200,109,,
6,45,683,51188,,,,,,
7,36,410,51100,,,,,,
8,54,884,51088,,,,,,
9,49,958,51144,,,,,,
10,56,868,51176,,,,,,
11,113,1086,51152,,,,,,
12,63,1720,51200,,,,,,
13,62,1679,51148,,,,,,
14,59,1533,51152,,,,,,
15,69,2047,51116,,,,,,
16,76,2279,51188,,,,,,
17,65,798,51184,,,,,,
18,79,1464,51148,,,,,,
19,70,945,51168,,,,,,
20,43,808,51128,,,,,,
21,51,1085,51144,,,,,,
22,51,1040,51200,,,,,,
23,51,996,51200,,,,,,
24,39,667,51128,,,,,,
25,64,1456,51172,,,,,,
26,54,1087,51200,,,,,,
27,53,1026,51092,,,,,,
28,64,829,51112,,,,,,
29,74,2323,51100,,,,,,
30,100,1673,51104,,,,,,
31,117,3150,51140,,,,,,
32,117,2432,51188,,,,,,
33,84,2274,51088,,,,,,
34,73,1666,51112,,,,,,
35,82,1639,51188,,,,,,
36,65,1872,51156,,,,,,
37,65,1806,51160,,,,,,
38,106,1620,51172,,,,,,
39,84,1815,51164,,,,,,
40,56,1250,51164,,,,,,
41,79,2756,51168,,,,,,
42,77,2472,51100,,,,,,
43,100,2581,51180,,,,,,
44,112,2612,51196,,,,,,
45,81,1694,51156,,,,,,
46,88,1254,51156,,,,,,
47,86,1094,51160,,,,,,
48,44,807,51200,,,,,,
49,43,837,51184,,,,,,
50,53,1173,51132,,,,,,
51,46,990,51108,,,,,,
52,47,885,51100,,,,,,
53,58,1246,51112,,,,,,
54,88,1579,51128,,,,,,
55,120,4781,51184,,,,,,
56,95,2547,51156,,,,,,
57,67,1531,51088,,,,,,
58,89,2008,51172,,,,,,
59,89,2176,51180,,,,,,
60,89,3297,51180,,,,,,
61,84,2436,51120,,,,,,
62,93,739,51092,,,,,,
63,89,600,51120,,,,,,
64,84,593,51176,,,,,,
65,96,700,51172,,,,,,
66,106,917,51156,,,,,,
67,101,641,51168,,,,,,
68,79,552,51132,,,,,,
69,146,3154,51144,,,,,,
70,106,2511,51128,,,,,,
71,84,1078,51112,,,,,,
72,61,851,51084,,,,,,
73,66,910,51136,,,,,,
74,104,1329,51092,,,,,,
75,103,1784,51124,,,,,,
76,123,3894,51152,,,,,,
77,164,3761,51180,,,,,,
78,141,3030,51088,,,,,,
79,104,3821,51100,,,,,,
80,169,2118,51136,,,,,,
81,95,3813,51188,,,,,,
82,105,2634,51152,,,,,,
83,119,1901,51096,,,,,,
84,99,2921,51108,,,,,,
85,124,4367,51156,,,,,,
86,101,1564,51084,,,,,,
87,100,1972,51172,,,,,,
88,99,2058,51184,,,,,,
89,195,4421,51200,,,,,,
90,193,3405,51100,,,,,,
91,190,2390,51100,,,,,,
92,173,2020,51192,,,,,,
93,100,3133,51096,,,,,,
94,224,2110,51200,,,,,,
95,114,3846,51124,,,,,,
96,111,3294,51120,,,,,,
97,123,2507,51156,,,,,,
98,182,1926,51116,,,,,,
99,151,3719,51136,,,,,,
100,162,3393,51156,,,,,,
101,181,2984,51168,,,,,,
102,226,2549,51192,,,,,,
103,230,2648,51112,,,,,,
104,233,2213,51160,,,,,,
105,274,2344,51168,,,,,,
106,308,2031,51144,,,,,,
107,350,1205,51108,,,,,,
108,248,712,35008,,,,,,
