partition,nodes,edges,size,,avg,max,min,median,std
0,64,7,10184,nodes,70.02380952,78,24,72,7.390431701
1,69,7,10120,edges,5.047619048,25,0,4,4.085120392
2,68,7,10132,size,10097.7619,10240,2988,10188,781.590162
3,72,4,10144,,,,,,
4,73,2,10236,,edge-cut-ratio,local buffer size,# partition,,
5,72,9,10180,,0.988,10240,84,,
6,74,1,10220,,,,,,
7,77,0,10188,,,,,,
8,75,2,10132,,,,,,
9,78,3,10176,,,,,,
10,68,5,10004,,,,,,
11,71,5,10152,,,,,,
12,64,8,10216,,,,,,
13,74,3,10188,,,,,,
14,74,4,10212,,,,,,
15,77,0,10224,,,,,,
16,75,6,10224,,,,,,
17,71,6,10132,,,,,,
18,73,6,10204,,,,,,
19,74,4,10208,,,,,,
20,76,2,10204,,,,,,
21,72,3,10232,,,,,,
22,72,4,10208,,,,,,
23,70,8,10148,,,,,,
24,63,9,10144,,,,,,
25,74,2,10124,,,,,,
26,74,2,10188,,,,,,
27,67,4,10216,,,,,,
28,69,8,10228,,,,,,
29,70,3,10228,,,,,,
30,62,11,10180,,,,,,
31,68,15,10196,,,,,,
32,77,0,10184,,,,,,
33,75,2,10164,,,,,,
34,70,3,10188,,,,,,
35,70,2,10184,,,,,,
36,70,8,10212,,,,,,
37,67,11,10212,,,,,,
38,62,10,10128,,,,,,
39,61,6,10156,,,,,,
40,67,5,10188,,,,,,
41,73,2,10216,,,,,,
42,65,9,10188,,,,,,
43,73,10,10184,,,,,,
44,66,6,10072,,,,,,
45,69,3,10240,,,,,,
46,78,1,10236,,,,,,
47,74,3,10156,,,,,,
48,60,4,10092,,,,,,
49,75,0,10132,,,,,,
50,75,1,10144,,,,,,
51,70,2,10180,,,,,,
52,52,25,10220,,,,,,
53,78,1,10096,,,,,,
54,60,12,10192,,,,,,
55,74,11,10220,,,,,,
56,62,11,10200,,,,,,
57,74,3,10224,,,,,,
58,76,2,10220,,,,,,
59,77,4,10148,,,,,,
60,70,6,10128,,,,,,
61,72,11,10172,,,,,,
62,72,5,10148,,,,,,
63,65,12,10196,,,,,,
64,63,5,10176,,,,,,
65,68,6,10136,,,,,,
66,69,6,10172,,,,,,
67,69,2,10188,,,,,,
68,71,5,10236,,,,,,
69,73,4,10144,,,,,,
70,76,4,10220,,,,,,
71,70,2,10236,,,,,,
72,70,0,10220,,,,,,
73,78,0,10240,,,,,,
74,74,5,10240,,,,,,
75,76,4,10160,,,,,,
76,72,5,10224,,,,,,
77,52,10,10204,,,,,,
78,68,8,10216,,,,,,
79,76,0,10196,,,,,,
80,76,2,10228,,,,,,
81,73,3,10224,,,,,,
82,75,0,10172,,,,,,
83,24,2,2988,,,,,,
