partition,nodes,edges,size,,avg,max,min,median,std
0,169,123,51012,nodes,104.3027523,178,60,101,27.15180045
1,171,85,51156,edges,94.30275229,158,68,93,15.25411936
2,96,79,51144,size,50996.22018,51200,49280,51072,270.1848962
3,103,77,51116,,,,,,
4,134,91,51196,,edge-cut-ratio,local buffer size,# partition,,
5,118,74,51140,,0.99,51200,109,,
6,107,105,51008,,,,,,
7,106,77,50924,,,,,,
8,79,84,51084,,,,,,
9,97,127,50920,,,,,,
10,103,101,50880,,,,,,
11,96,99,51136,,,,,,
12,101,86,51056,,,,,,
13,112,99,51020,,,,,,
14,124,101,51148,,,,,,
15,110,128,51188,,,,,,
16,79,96,51184,,,,,,
17,74,103,50752,,,,,,
18,99,118,51184,,,,,,
19,96,82,51156,,,,,,
20,76,97,50808,,,,,,
21,103,99,50864,,,,,,
22,115,92,51052,,,,,,
23,130,91,51044,,,,,,
24,91,80,51008,,,,,,
25,64,83,51016,,,,,,
26,62,75,50788,,,,,,
27,173,78,51200,,,,,,
28,138,96,51104,,,,,,
29,68,89,50708,,,,,,
30,75,119,51168,,,,,,
31,91,87,50944,,,,,,
32,150,102,51184,,,,,,
33,163,86,49280,,,,,,
34,110,105,51136,,,,,,
35,95,100,51168,,,,,,
36,77,84,50988,,,,,,
37,178,86,51188,,,,,,
38,88,94,51184,,,,,,
39,83,80,51072,,,,,,
40,94,101,51144,,,,,,
41,63,100,50584,,,,,,
42,83,85,50948,,,,,,
43,87,69,51000,,,,,,
44,69,100,50600,,,,,,
45,105,104,51072,,,,,,
46,121,93,51052,,,,,,
47,101,85,51128,,,,,,
48,91,92,51048,,,,,,
49,131,105,51032,,,,,,
50,92,75,50996,,,,,,
51,72,88,50892,,,,,,
52,122,90,50960,,,,,,
53,67,138,51004,,,,,,
54,88,78,51016,,,,,,
55,115,88,51200,,,,,,
56,83,109,50644,,,,,,
57,102,116,51160,,,,,,
58,90,75,51096,,,,,,
59,92,132,50860,,,,,,
60,123,105,51032,,,,,,
61,101,96,51120,,,,,,
62,85,92,50912,,,,,,
63,101,91,51072,,,,,,
64,120,96,51036,,,,,,
65,105,87,51136,,,,,,
66,93,112,51196,,,,,,
67,161,68,50944,,,,,,
68,104,70,51108,,,,,,
69,138,98,51184,,,,,,
70,102,89,50868,,,,,,
71,69,94,50804,,,,,,
72,81,112,50464,,,,,,
73,147,68,51116,,,,,,
74,60,93,49576,,,,,,
75,85,92,50868,,,,,,
76,140,92,51008,,,,,,
77,88,102,50836,,,,,,
78,105,102,51072,,,,,,
79,113,95,51172,,,,,,
80,122,95,51152,,,,,,
81,73,78,51144,,,,,,
82,142,75,51152,,,,,,
83,84,92,50764,,,,,,
84,113,104,51200,,,,,,
85,106,79,51148,,,,,,
86,100,110,51152,,,,,,
87,134,75,51148,,,,,,
88,79,82,51112,,,,,,
89,93,95,51176,,,,,,
90,81,101,51080,,,,,,
91,98,90,51044,,,,,,
92,111,95,51068,,,,,,
93,112,82,51044,,,,,,
94,103,158,50948,,,,,,
95,82,91,51168,,,,,,
96,94,80,51136,,,,,,
97,178,99,51128,,,,,,
98,147,95,51124,,,,,,
99,130,84,51188,,,,,,
100,149,105,51080,,,,,,
101,83,90,51120,,,,,,
102,63,99,50744,,,,,,
103,82,115,50976,,,,,,
104,118,95,51092,,,,,,
105,86,74,50716,,,,,,
106,119,107,51200,,,,,,
107,101,82,50416,,,,,,
108,93,117,50900,,,,,,
