partition,nodes,edges,size,,avg,max,min,median,std
0,462,95,102064,nodes,492.769697,540,438,493,20.97722408
1,469,90,102344,edges,65.2,109,34,65,13.97495595
2,523,39,96772,size,101996.6061,102400,92776,102328,1282.210183
3,485,46,102372,,,,,,
4,482,87,102332,,edge-cut-ratio,local buffer size,# partition,,
5,510,56,102348,,0.994,102400,165,,
6,527,34,102296,,,,,,
7,479,62,102352,,,,,,
8,516,46,102292,,,,,,
9,459,74,102364,,,,,,
10,486,80,102380,,,,,,
11,502,71,102284,,,,,,
12,482,70,102344,,,,,,
13,491,79,102312,,,,,,
14,499,44,102320,,,,,,
15,484,77,102360,,,,,,
16,470,60,102348,,,,,,
17,497,78,101468,,,,,,
18,473,65,102292,,,,,,
19,504,61,101404,,,,,,
20,491,83,102396,,,,,,
21,474,61,102400,,,,,,
22,513,60,102316,,,,,,
23,481,77,102380,,,,,,
24,495,78,102336,,,,,,
25,484,68,102396,,,,,,
26,482,93,102336,,,,,,
27,513,75,102376,,,,,,
28,493,72,102340,,,,,,
29,492,58,96252,,,,,,
30,468,66,102364,,,,,,
31,502,58,102320,,,,,,
32,459,73,102392,,,,,,
33,488,72,102352,,,,,,
34,486,63,102352,,,,,,
35,500,64,102324,,,,,,
36,508,63,102360,,,,,,
37,469,73,102292,,,,,,
38,522,81,102304,,,,,,
39,486,63,102392,,,,,,
40,508,56,102392,,,,,,
41,526,69,102376,,,,,,
42,498,60,102384,,,,,,
43,471,67,102276,,,,,,
44,505,51,102296,,,,,,
45,495,54,98736,,,,,,
46,474,69,102364,,,,,,
47,494,67,102312,,,,,,
48,484,52,102324,,,,,,
49,461,94,102324,,,,,,
50,540,49,101760,,,,,,
51,490,60,102380,,,,,,
52,481,65,102284,,,,,,
53,520,42,102324,,,,,,
54,526,68,102284,,,,,,
55,474,86,102296,,,,,,
56,517,48,102040,,,,,,
57,466,67,102300,,,,,,
58,524,55,102392,,,,,,
59,510,53,102344,,,,,,
60,483,79,102340,,,,,,
61,483,69,102284,,,,,,
62,522,56,102396,,,,,,
63,441,92,102112,,,,,,
64,538,60,99640,,,,,,
65,491,43,92776,,,,,,
66,504,62,100956,,,,,,
67,512,69,102388,,,,,,
68,442,94,102104,,,,,,
69,522,49,102376,,,,,,
70,496,76,102400,,,,,,
71,474,58,102376,,,,,,
72,520,34,102388,,,,,,
73,496,58,102348,,,,,,
74,510,62,102328,,,,,,
75,506,66,100560,,,,,,
76,510,47,102384,,,,,,
77,476,81,102288,,,,,,
78,488,55,102276,,,,,,
79,496,66,102316,,,,,,
80,451,92,101988,,,,,,
81,499,58,102284,,,,,,
82,516,42,102284,,,,,,
83,476,76,102324,,,,,,
84,463,56,102312,,,,,,
85,462,71,102252,,,,,,
86,487,75,102400,,,,,,
87,506,84,102376,,,,,,
88,537,53,100596,,,,,,
89,488,71,102232,,,,,,
90,507,48,102300,,,,,,
91,489,75,101632,,,,,,
92,528,43,102312,,,,,,
93,460,82,102252,,,,,,
94,472,62,102368,,,,,,
95,477,81,102340,,,,,,
96,507,78,102360,,,,,,
97,469,57,102308,,,,,,
98,504,55,102348,,,,,,
99,499,53,102348,,,,,,
100,498,64,102380,,,,,,
101,469,76,102316,,,,,,
102,492,62,102328,,,,,,
103,523,45,102328,,,,,,
104,475,76,102400,,,,,,
105,506,63,102312,,,,,,
106,505,59,102392,,,,,,
107,485,78,102392,,,,,,
108,506,49,102292,,,,,,
109,494,61,102352,,,,,,
110,476,48,102296,,,,,,
111,514,56,102344,,,,,,
112,487,79,102388,,,,,,
113,501,63,102364,,,,,,
114,525,59,102292,,,,,,
115,446,65,102112,,,,,,
116,471,96,102376,,,,,,
117,475,90,102348,,,,,,
118,505,62,102328,,,,,,
119,505,65,100204,,,,,,
120,501,58,102356,,,,,,
121,463,87,102324,,,,,,
122,502,72,102328,,,,,,
123,465,68,102344,,,,,,
124,504,69,102400,,,,,,
125,518,61,102340,,,,,,
126,453,84,102332,,,,,,
127,493,68,102292,,,,,,
128,520,50,102380,,,,,,
129,475,58,102228,,,,,,
130,510,49,102396,,,,,,
131,517,39,99108,,,,,,
132,495,59,102300,,,,,,
133,513,46,101668,,,,,,
134,511,68,102380,,,,,,
135,488,66,102284,,,,,,
136,518,56,102380,,,,,,
137,467,83,102388,,,,,,
138,486,54,102284,,,,,,
139,470,71,102036,,,,,,
140,486,60,102304,,,,,,
141,509,62,102324,,,,,,
142,462,78,102280,,,,,,
143,480,82,102304,,,,,,
144,519,44,102352,,,,,,
145,493,66,102292,,,,,,
146,478,79,102348,,,,,,
147,514,47,102328,,,,,,
148,484,63,102336,,,,,,
149,508,54,102380,,,,,,
150,490,65,102376,,,,,,
151,473,71,102368,,,,,,
152,492,39,95288,,,,,,
153,469,71,102200,,,,,,
154,438,109,102388,,,,,,
155,514,64,102360,,,,,,
156,531,47,102324,,,,,,
157,500,66,102364,,,,,,
158,498,42,96480,,,,,,
159,491,79,102368,,,,,,
160,489,70,102312,,,,,,
161,496,85,102380,,,,,,
162,469,71,102304,,,,,,
163,523,70,102356,,,,,,
164,497,57,102364,,,,,,
