partition,nodes,edges,size,,avg,max,min,median,std
0,45,123,10220,nodes,70.02380952,84,45,69.5,9.983291029
1,48,132,9680,edges,64.26190476,153,3,64.5,41.16029034
2,50,99,10240,size,10097.7619,10240,6132,10168,447.4172874
3,67,104,9896,,,,,,
4,50,63,10056,,edge-cut-ratio,local buffer size,# partition,,
5,63,119,10156,,0.848,10240,84,,
6,59,116,9932,,,,,,
7,56,113,10220,,,,,,
8,62,51,10216,,,,,,
9,71,36,10136,,,,,,
10,56,68,10200,,,,,,
11,65,90,9588,,,,,,
12,61,111,10192,,,,,,
13,62,103,10172,,,,,,
14,63,120,10156,,,,,,
15,62,153,10220,,,,,,
16,73,50,10180,,,,,,
17,69,64,10140,,,,,,
18,69,66,10160,,,,,,
19,69,77,10092,,,,,,
20,65,83,10224,,,,,,
21,67,74,10128,,,,,,
22,66,77,10228,,,,,,
23,65,93,10136,,,,,,
24,68,110,10120,,,,,,
25,55,70,10200,,,,,,
26,65,100,10116,,,,,,
27,66,112,10228,,,,,,
28,68,68,10128,,,,,,
29,84,9,10184,,,,,,
30,71,57,10148,,,,,,
31,65,120,10212,,,,,,
32,66,65,10212,,,,,,
33,65,100,10116,,,,,,
34,77,17,10200,,,,,,
35,57,120,10128,,,,,,
36,58,93,10144,,,,,,
37,65,66,10224,,,,,,
38,57,112,10148,,,,,,
39,63,112,9996,,,,,,
40,63,126,10180,,,,,,
41,63,43,10176,,,,,,
42,70,64,10140,,,,,,
43,75,63,10180,,,,,,
44,67,102,10200,,,,,,
45,73,61,10204,,,,,,
46,70,116,10236,,,,,,
47,71,85,9956,,,,,,
48,67,114,10232,,,,,,
49,71,109,10172,,,,,,
50,71,114,10016,,,,,,
51,53,79,10148,,,,,,
52,83,14,10240,,,,,,
53,82,14,10176,,,,,,
54,83,3,10168,,,,,,
55,80,22,10120,,,,,,
56,80,13,10132,,,,,,
57,71,73,10200,,,,,,
58,77,35,10196,,,,,,
59,69,117,10056,,,,,,
60,79,24,10168,,,,,,
61,79,55,10116,,,,,,
62,80,31,10148,,,,,,
63,79,43,10152,,,,,,
64,80,30,10160,,,,,,
65,81,37,10216,,,,,,
66,80,20,10120,,,,,,
67,82,6,10228,,,,,,
68,81,21,10204,,,,,,
69,81,12,10168,,,,,,
70,81,15,10168,,,,,,
71,81,6,10160,,,,,,
72,82,8,10224,,,,,,
73,81,16,10128,,,,,,
74,81,24,10124,,,,,,
75,81,27,10124,,,,,,
76,81,14,10188,,,,,,
77,81,16,10128,,,,,,
78,83,11,10180,,,,,,
79,82,7,10200,,,,,,
80,81,50,10236,,,,,,
81,81,27,10148,,,,,,
82,82,11,10192,,,,,,
83,50,4,6132,,,,,,
