partition,nodes,edges,size,,avg,max,min,median,std
0,171,3146,50376,nodes,103.3545455,286,26,97.5,53.0911029
1,159,2868,51156,edges,1466.918182,5396,162,1219.5,1061.135054
2,151,1792,51024,size,50532.61818,51196,41036,50790,1138.394555
3,133,3080,50808,,,,,,
4,221,1357,51160,,edge-cut-ratio,local buffer size,# partition,,
5,173,3177,51084,,0.846,51200,110,,
6,182,4209,50432,,,,,,
7,119,1635,50692,,,,,,
8,140,3670,50124,,,,,,
9,232,2515,51136,,,,,,
10,75,1248,50784,,,,,,
11,45,949,49128,,,,,,
12,26,211,50756,,,,,,
13,156,3090,50624,,,,,,
14,169,2448,50908,,,,,,
15,190,3354,51068,,,,,,
16,112,2170,50656,,,,,,
17,96,1060,50608,,,,,,
18,54,1431,51148,,,,,,
19,29,322,50616,,,,,,
20,44,400,51092,,,,,,
21,98,2394,50572,,,,,,
22,101,1403,51112,,,,,,
23,41,627,50664,,,,,,
24,31,349,49120,,,,,,
25,27,328,50500,,,,,,
26,126,1741,50396,,,,,,
27,74,2199,49960,,,,,,
28,70,709,51124,,,,,,
29,98,4257,50964,,,,,,
30,74,755,50612,,,,,,
31,43,903,50456,,,,,,
32,36,630,49932,,,,,,
33,29,406,50388,,,,,,
34,113,1110,50888,,,,,,
35,124,1490,50832,,,,,,
36,97,1168,50156,,,,,,
37,67,1650,50224,,,,,,
38,66,1767,50136,,,,,,
39,62,1615,51088,,,,,,
40,59,1411,50792,,,,,,
41,60,619,51160,,,,,,
42,52,479,49060,,,,,,
43,62,896,50776,,,,,,
44,140,1836,51144,,,,,,
45,118,3439,50684,,,,,,
46,134,1400,50664,,,,,,
47,81,957,50856,,,,,,
48,89,1892,50492,,,,,,
49,73,1901,50228,,,,,,
50,47,520,51112,,,,,,
51,114,3425,51060,,,,,,
52,136,2783,49784,,,,,,
53,98,1742,50544,,,,,,
54,176,1811,50984,,,,,,
55,119,2084,50732,,,,,,
56,52,269,49920,,,,,,
57,79,598,50856,,,,,,
58,28,312,50924,,,,,,
59,108,2070,50544,,,,,,
60,57,944,51088,,,,,,
61,119,3115,51148,,,,,,
62,77,1400,49736,,,,,,
63,71,407,51084,,,,,,
64,29,185,51064,,,,,,
65,83,1067,50808,,,,,,
66,48,1128,51192,,,,,,
67,47,1081,51164,,,,,,
68,210,2723,51096,,,,,,
69,175,3891,50824,,,,,,
70,91,1530,51124,,,,,,
71,144,1031,50636,,,,,,
72,138,2475,51084,,,,,,
73,115,2465,50928,,,,,,
74,144,1781,50936,,,,,,
75,62,426,50752,,,,,,
76,88,679,51196,,,,,,
77,77,690,51028,,,,,,
78,126,5396,50712,,,,,,
79,94,2692,51040,,,,,,
80,79,371,50900,,,,,,
81,78,869,50604,,,,,,
82,136,1366,50416,,,,,,
83,155,1537,50564,,,,,,
84,125,1579,50788,,,,,,
85,48,189,49624,,,,,,
86,48,164,45836,,,,,,
87,67,519,50188,,,,,,
88,78,650,50620,,,,,,
89,118,662,48976,,,,,,
90,39,296,49356,,,,,,
91,40,162,51036,,,,,,
92,50,1041,49460,,,,,,
93,108,691,50960,,,,,,
94,185,1492,51184,,,,,,
95,96,572,50100,,,,,,
96,108,633,50616,,,,,,
97,135,1004,51004,,,,,,
98,152,1223,50532,,,,,,
99,70,392,50948,,,,,,
100,74,365,50836,,,,,,
101,118,1216,50852,,,,,,
102,125,1141,50088,,,,,,
103,111,507,50956,,,,,,
104,108,2345,51164,,,,,,
105,119,626,51144,,,,,,
106,187,1608,51192,,,,,,
107,191,1529,51024,,,,,,
108,261,609,51124,,,,,,
109,286,820,41036,,,,,,
