partition,nodes,edges,size,,avg,max,min,median,std
0,224,4030,101748,nodes,492.769697,838,146,510,136.2944506
1,202,4049,101816,edges,3649.660606,9065,1,3305,1767.686584
2,254,2601,102116,size,101996.6061,102400,60364,102292,3258.113784
3,371,2552,102156,,,,,,
4,196,2801,102116,,edge-cut-ratio,local buffer size,# partition,,
5,329,2975,101880,,0.659,102400,165,,
6,283,3152,102272,,,,,,
7,431,2090,102328,,,,,,
8,338,9065,102180,,,,,,
9,315,5558,102264,,,,,,
10,370,2427,102312,,,,,,
11,410,1992,102288,,,,,,
12,472,3514,102324,,,,,,
13,502,6644,102340,,,,,,
14,539,4846,102368,,,,,,
15,565,2740,102264,,,,,,
16,475,5660,102276,,,,,,
17,470,4097,102292,,,,,,
18,453,2931,102376,,,,,,
19,437,3148,102248,,,,,,
20,305,7053,101992,,,,,,
21,275,3035,102364,,,,,,
22,235,5467,101640,,,,,,
23,146,3359,100032,,,,,,
24,253,2444,102400,,,,,,
25,259,3387,101952,,,,,,
26,259,2392,102184,,,,,,
27,226,3739,102088,,,,,,
28,226,2628,102192,,,,,,
29,286,3295,102332,,,,,,
30,303,4814,102320,,,,,,
31,267,1945,102296,,,,,,
32,354,1595,102392,,,,,,
33,321,1496,102388,,,,,,
34,314,1954,102248,,,,,,
35,363,4780,102172,,,,,,
36,353,3930,102212,,,,,,
37,355,6050,102384,,,,,,
38,358,4856,101996,,,,,,
39,368,2963,102248,,,,,,
40,381,2451,102288,,,,,,
41,402,3743,102212,,,,,,
42,358,3353,102076,,,,,,
43,394,5240,102376,,,,,,
44,393,3224,102268,,,,,,
45,338,5423,102160,,,,,,
46,377,3305,101884,,,,,,
47,457,4125,102304,,,,,,
48,319,6006,102396,,,,,,
49,298,5091,102068,,,,,,
50,435,7138,102236,,,,,,
51,368,6552,102376,,,,,,
52,436,4648,102244,,,,,,
53,421,2794,102356,,,,,,
54,397,3318,102236,,,,,,
55,425,3099,101948,,,,,,
56,510,4794,102340,,,,,,
57,465,3383,102276,,,,,,
58,444,1998,102196,,,,,,
59,427,5492,102372,,,,,,
60,370,5522,102244,,,,,,
61,472,5215,102204,,,,,,
62,526,4480,102340,,,,,,
63,529,3981,102352,,,,,,
64,396,5549,102308,,,,,,
65,375,7072,102312,,,,,,
66,487,3676,102248,,,,,,
67,568,2557,102128,,,,,,
68,436,3373,102116,,,,,,
69,465,5051,102128,,,,,,
70,428,2891,102352,,,,,,
71,619,2707,102260,,,,,,
72,528,5991,102232,,,,,,
73,450,5982,102248,,,,,,
74,427,5885,102352,,,,,,
75,473,4615,102292,,,,,,
76,571,2554,102256,,,,,,
77,489,5211,102308,,,,,,
78,517,2530,102192,,,,,,
79,543,2846,102288,,,,,,
80,396,6742,102372,,,,,,
81,488,3455,102256,,,,,,
82,454,5269,102272,,,,,,
83,576,3042,102360,,,,,,
84,560,2855,102360,,,,,,
85,531,5468,101952,,,,,,
86,510,3736,102256,,,,,,
87,470,7007,102252,,,,,,
88,497,5855,102348,,,,,,
89,491,3031,102340,,,,,,
90,538,4054,102340,,,,,,
91,465,7716,102100,,,,,,
92,528,4504,102336,,,,,,
93,421,8087,102348,,,,,,
94,536,6175,102320,,,,,,
95,548,4298,102332,,,,,,
96,387,6292,102048,,,,,,
97,381,7316,102216,,,,,,
98,533,4595,102388,,,,,,
99,555,3102,102320,,,,,,
100,595,3163,102332,,,,,,
101,631,3339,102284,,,,,,
102,630,1724,102388,,,,,,
103,589,2811,102388,,,,,,
104,559,3471,102172,,,,,,
105,466,5209,102364,,,,,,
106,603,4393,102316,,,,,,
107,614,2319,102248,,,,,,
108,551,4912,102344,,,,,,
109,566,4400,102376,,,,,,
110,596,2886,102356,,,,,,
111,606,2323,102284,,,,,,
112,561,3493,102392,,,,,,
113,604,2378,102380,,,,,,
114,605,3422,102400,,,,,,
115,628,3865,102348,,,,,,
116,609,1942,102232,,,,,,
117,645,1799,102296,,,,,,
118,565,5364,102216,,,,,,
119,535,2251,102280,,,,,,
120,640,2767,102284,,,,,,
121,512,5001,102324,,,,,,
122,638,1827,102372,,,,,,
123,601,3321,102388,,,,,,
124,631,2932,102280,,,,,,
125,591,5138,102228,,,,,,
126,641,2006,102296,,,,,,
127,525,1672,102120,,,,,,
128,644,3107,102240,,,,,,
129,654,2190,102280,,,,,,
130,522,6179,102372,,,,,,
131,633,2214,102384,,,,,,
132,632,2972,102036,,,,,,
133,519,5097,102324,,,,,,
134,615,2664,102364,,,,,,
135,634,2264,102212,,,,,,
136,628,1998,102308,,,,,,
137,563,2302,102296,,,,,,
138,644,2011,102368,,,,,,
139,637,2035,102336,,,,,,
140,632,1698,102380,,,,,,
141,661,1824,102380,,,,,,
142,627,1365,102316,,,,,,
143,627,1659,102264,,,,,,
144,617,3188,102384,,,,,,
145,564,5516,102304,,,,,,
146,649,1266,102376,,,,,,
147,679,1290,102356,,,,,,
148,647,2736,102284,,,,,,
149,665,2058,102320,,,,,,
150,622,4357,102236,,,,,,
151,665,3262,102284,,,,,,
152,682,1206,102320,,,,,,
153,601,4781,102204,,,,,,
154,678,1601,102368,,,,,,
155,664,1896,102324,,,,,,
156,651,1423,102284,,,,,,
157,689,1013,102304,,,,,,
158,669,1268,102280,,,,,,
159,649,1148,102280,,,,,,
160,491,8611,102392,,,,,,
161,800,268,102400,,,,,,
162,834,55,102360,,,,,,
163,838,25,102384,,,,,,
164,503,1,60364,,,,,,
