phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,829,828,4777,31078,697552,74
2,132,132,4541,29787,664068,67
3,54,54,4441,29191,649684,65
4,29,29,4373,28652,639368,64
5,21,21,4318,28192,630928,63
6,17,17,4264,27774,622776,62
7,17,17,4223,27382,616288,61
8,9,9,4179,26983,609412,61
9,11,11,4122,26585,600980,60
10,16,16,4061,26175,592020,59
11,13,13,4009,25782,584208,58
12,11,11,3958,25339,576316,58
13,14,14,3910,24911,568844,57
14,13,13,3853,24512,560408,56
15,14,14,3774,24045,549060,55
16,15,15,3710,23658,539832,54
17,11,10,3643,23216,530024,53
18,14,14,3587,22805,521660,52
19,25,25,3498,22359,509196,51
20,21,21,3430,21972,499488,50
21,9,9,3384,21614,492536,49
22,6,6,3349,21254,486896,49
23,13,13,3301,20917,479788,48
24,8,8,3253,20532,472488,48
25,17,17,3206,20173,465412,47
26,9,9,3173,19781,459884,46
27,8,8,3125,19388,452552,46
28,11,11,3079,19015,445540,45
29,14,14,3032,18644,438416,44
30,8,8,2988,18254,431576,43
31,9,9,2944,17866,424744,43
32,9,9,2892,17475,416940,42
33,11,11,2851,17100,410520,41
34,6,6,2815,16757,404828,41
35,9,9,2772,16413,398292,40
36,4,4,2731,16033,391852,39
37,9,9,2689,15670,385360,39
38,11,11,2644,15256,378304,38
39,9,9,2599,14880,371400,38
40,12,12,2544,14515,363340,37
41,6,6,2510,14183,357932,36
42,6,6,2457,13842,350208,36
43,6,6,2402,13476,342144,35
44,20,20,2344,13110,333720,34
45,23,23,2280,12774,324696,33
46,17,17,2216,12398,315512,32
47,21,21,2149,12006,305904,31
48,9,9,2106,11670,299400,30
49,10,10,2056,11322,292008,30
50,10,10,1992,10910,282680,29
51,9,9,1951,10540,276280,28
52,15,15,1905,10183,269332,27
53,17,17,1843,9832,260488,27
54,14,14,1780,9450,251400,26
55,12,12,1723,9054,242976,25
56,7,7,1658,8507,232988,24
57,10,10,1594,8094,223656,23
58,24,24,1526,7718,213992,22
59,5,5,1472,7355,206060,21
60,11,11,1411,6986,197264,21
61,8,8,1358,6640,189520,20
62,9,9,1295,6255,180420,19
63,8,8,1243,5853,172572,18
64,13,13,1172,5463,162492,17
65,8,8,1105,5029,152716,16
66,10,10,1028,4572,141648,15
67,14,14,965,4197,132588,14
68,11,11,904,3748,123472,13
69,12,12,844,3320,114560,12
70,15,15,776,2873,104612,12
71,13,13,689,2444,92456,11
72,18,18,604,2070,80760,9
73,16,16,525,1703,69812,8
74,17,17,440,1362,58248,7
75,16,15,361,1046,47504,6
76,28,27,267,756,35064,5
77,15,15,186,459,24156,4
78,14,12,95,205,12220,3
79,6,5,17,26,2144,2
