phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,17,16,11148,837640,4688320,109
2,168,168,10939,769094,4389056,92
3,54,54,10880,732663,4236252,86
4,1,1,10862,708335,4136780,83
5,12,12,10779,693375,4066980,81
6,0,0,10778,687736,4044304,80
7,7,7,10765,679516,4009864,80
8,9,9,10752,672742,3981208,79
9,18,18,10733,668575,3962260,78
10,0,0,10730,665448,3949392,78
11,0,0,10721,660890,3930080,78
12,0,0,10718,656750,3913160,77
13,1,1,10716,653425,3899620,77
14,4,4,10708,651135,3889500,77
15,0,0,10704,649165,3881140,77
16,0,0,10704,646703,3871292,76
17,0,0,10698,643767,3858828,76
18,0,0,10697,641101,3848044,76
19,0,0,10695,639332,3840728,76
20,0,0,10693,637824,3834456,76
21,4,4,10689,636052,3826888,75
22,1,1,10685,633463,3816052,75
23,0,0,10685,630603,3804612,75
24,0,0,10681,627869,3793196,75
25,0,0,10678,625350,3782760,75
26,4,4,10671,622977,3772428,74
27,2,2,10667,621599,3766436,74
28,0,0,10664,619815,3758940,74
29,0,0,10663,617757,3750588,74
30,1,1,10662,616053,3743652,74
31,9,9,10652,613559,3732476,74
32,0,0,10651,611068,3722392,73
33,3,3,10648,608624,3712256,73
34,0,0,10647,606878,3705152,73
35,2,2,10630,604010,3691640,73
36,8,8,10618,602243,3683132,73
37,16,16,10592,599574,3669336,72
38,1,1,10590,597985,3662740,72
39,19,19,10562,596381,3652964,72
40,13,13,10532,595131,3644364,72
41,1,1,10528,593958,3639192,72
42,0,0,10525,592021,3631084,72
43,0,0,10523,589294,3619936,72
44,0,0,10520,583778,3597512,71
45,0,0,10486,575857,3561748,71
46,1,1,10447,568242,3526608,70
47,50,50,10320,560506,3480424,69
48,1,1,10200,556490,3449960,69
49,3,3,10193,554109,3439596,68
50,5,5,10170,551942,3428168,68
51,5,5,10142,549790,3416200,68
52,1,1,10110,547191,3401964,67
53,7,7,10092,545151,3391644,67
54,8,8,10078,542883,3380892,67
55,16,16,10055,540366,3368064,67
56,12,12,10039,538258,3357712,66
57,1,1,10034,535168,3344752,66
58,1,1,10026,531743,3330092,66
59,9,9,10012,528453,3315252,66
60,0,0,10010,525170,3301880,65
61,11,11,9990,521990,3286760,65
62,2,2,9977,518785,3272380,65
63,0,0,9972,516122,3261128,64
64,0,0,9969,513107,3248708,64
65,0,0,9964,509561,3233924,64
66,0,0,9961,506023,3219412,64
67,0,0,9958,501776,3202064,63
68,1,1,9953,497334,3183696,63
69,0,0,9947,491571,3159924,63
70,3,3,9940,486684,3139536,62
71,0,0,9931,481506,3117744,62
72,5,5,9920,476260,3095440,61
73,4,4,9909,470736,3072024,61
74,9,9,9875,463655,3039620,61
75,13,13,9803,455894,2999936,60
76,9,9,9791,448771,2970004,59
77,2,2,9722,441879,2934156,59
78,142,142,9479,434293,2874652,58
79,3,3,9408,428582,2843288,57
80,9,9,9378,425583,2827692,56
81,25,25,9291,422766,2805984,56
82,1,1,9180,419193,2778372,55
83,17,17,9142,413956,2752864,55
84,39,39,9082,409047,2726028,54
85,4,4,9013,402793,2692732,54
86,24,24,8918,397288,2659312,53
87,55,55,8801,391664,2622776,52
88,3,3,8788,386161,2599204,52
89,18,18,8739,380133,2569212,51
90,10,10,8681,375305,2542940,51
91,5,5,8647,371980,2525560,50
92,6,6,8607,366403,2498452,50
93,8,8,8565,362289,2476956,49
94,7,7,8542,358518,2459112,49
95,7,7,8498,355065,2440020,49
96,11,11,8388,351156,2411184,48
97,23,23,8271,346424,2378216,48
98,28,28,8149,341624,2344376,47
99,26,26,8100,336745,2318980,46
100,0,0,8087,332882,2301968,46
101,3,3,8062,328547,2281628,45
102,4,4,8031,323843,2259092,45
103,1,1,8007,319181,2237564,45
104,1,1,7981,314261,2214764,44
105,2,2,7958,309346,2192344,44
106,7,7,7927,302962,2163088,43
107,0,0,7916,298023,2142012,43
108,0,0,7888,291756,2113584,42
109,27,27,7840,285358,2082232,42
110,2,2,7815,279047,2053988,41
111,0,0,7786,273271,2027404,41
112,5,5,7760,266535,1997340,40
113,5,5,7734,260295,1969260,40
114,1,1,7708,252691,1935724,39
115,16,16,7678,244195,1898140,38
116,4,4,7635,233793,1851372,38
117,6,6,7560,224080,1803520,37
118,2,2,7517,216401,1767644,36
119,23,23,7450,209192,1730768,35
120,19,19,7409,201766,1696144,34
121,12,12,7301,196429,1661836,34
122,6,6,7255,190546,1632784,33
123,13,13,7165,183421,1593484,32
124,60,60,7004,174519,1538556,32
125,134,134,6789,168929,1490396,30
126,17,17,6698,162349,1453156,30
127,62,62,6586,156201,1415124,29
128,23,23,6516,150210,1382760,28
129,16,16,6469,144062,1352528,27
130,26,26,6386,136488,1312272,27
131,7,7,6320,127899,1269996,26
132,29,29,6246,120520,1231600,25
133,50,50,6128,112497,1185348,24
134,89,89,5901,104297,1125308,23
135,66,66,5714,99029,1081796,22
