phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,5839,35152,841288,84
2,5810,34771,836284,83
3,5781,34341,831084,83
4,5755,33931,826324,82
5,5726,33579,821436,82
6,5708,33249,817956,81
7,5683,32858,813392,81
8,5649,32473,807772,80
9,5624,32127,803388,80
10,5583,31674,796656,79
11,5557,31376,792344,79
12,5534,31078,788392,78
13,5509,30724,783976,78
14,5485,30310,779440,78
15,5461,29944,775096,77
16,5435,29608,770632,77
17,5408,29269,766036,76
18,5392,28904,762656,76
19,5359,28569,757356,75
20,5339,28263,753732,75
21,5309,27921,748764,75
22,5279,27523,743572,74
23,5247,27176,738344,74
24,5221,26841,733884,73
25,5189,26490,728640,73
26,5164,26145,724260,72
27,5137,25802,719648,72
28,5113,25501,715564,71
29,5087,25194,711216,71
30,5065,24891,707364,70
31,5040,24603,703212,70
32,5012,24345,698820,70
33,4981,24046,693904,69
34,4958,23754,689976,69
35,4921,23437,684268,68
36,4896,23140,680080,68
37,4878,22882,676888,67
38,4861,22607,673748,67
39,4831,22294,668896,67
40,4807,21986,664784,66
41,4782,21658,660472,66
42,4759,21389,656636,65
43,4735,21117,652668,65
44,4698,20819,647036,65
45,4671,20537,642668,64
46,4642,20269,638116,64
47,4616,20054,634136,63
48,4585,19848,629592,63
49,4558,19559,625196,62
50,4527,19304,620456,62
51,4484,19021,614164,61
52,4454,18731,609404,61
53,4419,18491,604244,60
54,4388,18244,599536,60
55,4359,18000,595080,59
56,4337,17760,591480,59
57,4296,17503,585532,59
58,4261,17250,580320,58
59,4233,16959,575796,57
60,4200,16726,570904,57
61,4167,16426,565744,57
62,4147,16197,562428,56
63,4104,15935,556220,56
64,4075,15702,551808,55
65,4033,15444,545736,55
66,3990,15180,539520,54
67,3954,14904,534096,54
68,3924,14678,529592,53
69,3884,14430,523800,53
70,3846,14232,518448,52
71,3828,14038,515512,51
72,3795,13826,510704,51
73,3764,13647,506268,51
74,3729,13408,501112,50
75,3688,13151,495164,50
76,3653,12927,490068,49
77,3616,12706,484744,49
78,3587,12521,480524,48
79,3560,12321,476484,48
80,3526,12089,471476,47
81,3495,11897,466988,47
82,3465,11667,462468,46
83,3438,11460,458400,46
84,3403,11257,453388,46
85,3372,11023,448732,45
86,3348,10818,445032,45
87,3304,10617,438948,44
88,3263,10415,433220,44
89,3220,10195,427180,43
90,3183,9998,421952,42
91,3142,9803,416252,42
92,3111,9594,411696,41
93,3074,9425,406580,41
94,3045,9249,402396,40
95,3009,9054,397296,40
96,2969,8869,391756,39
97,2920,8632,384928,39
98,2879,8422,379168,38
99,2835,8190,372960,38
100,2794,7961,367124,37
101,2776,7786,364264,37
102,2739,7614,359136,36
103,2692,7390,352600,36
104,2651,7194,346896,35
105,2599,6974,339776,35
106,2567,6766,335104,34
107,2528,6581,329684,33
108,2483,6402,323568,33
109,2438,6211,317404,32
110,2401,6046,312304,32
111,2343,5839,304516,31
112,2299,5662,298528,30
113,2256,5491,292684,30
114,2209,5298,286272,29
115,2156,5111,279164,29
116,2108,4936,272704,28
117,2058,4738,265912,27
118,2019,4567,260548,27
119,1987,4437,256188,26
120,1935,4237,249148,26
121,1893,4078,243472,25
122,1856,3915,238380,24
123,1808,3764,232016,24
124,1765,3592,226168,23
125,1727,3467,221108,23
126,1683,3306,215184,22
127,1630,3145,208180,22
128,1565,2944,199576,21
129,1518,2807,193388,20
130,1477,2680,187960,19
131,1432,2557,182068,19
132,1375,2420,174680,18
133,1322,2289,167796,18
134,1275,2168,161672,17
135,1219,2042,154448,16
136,1164,1912,147328,16
137,1115,1780,140920,15
138,1065,1642,134368,14
139,1008,1522,127048,14
140,951,1392,119688,13
141,904,1290,113640,12
142,840,1174,105496,12
143,795,1083,99732,11
144,743,979,93076,10
145,685,883,85732,10
146,636,805,79540,9
147,579,699,72276,8
148,525,614,65456,8
149,466,530,58040,7
150,415,456,51624,6
151,373,390,46320,6
152,318,316,39424,5
153,257,240,31800,4
154,186,167,22988,4
155,126,113,15572,3
156,59,51,7284,2
