phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,17,16,11351,1038500,5516120,109
2,1,1,11350,1028548,5476192,109
3,6,6,11341,1018111,5433364,108
4,20,20,11321,1008283,5391652,107
5,1,1,11320,998560,5352640,106
6,1,1,11319,988586,5312624,105
7,9,9,11310,978849,5272596,105
8,6,6,11303,968822,5231648,104
9,7,7,11296,959099,5191916,103
10,4,4,11292,949430,5152760,102
11,3,3,11289,939789,5113836,101
12,4,4,11285,929939,5073956,101
13,2,2,11283,920232,5034888,100
14,2,2,11281,910598,4996112,99
15,6,6,11275,900873,4956492,98
16,6,6,11269,891235,4917220,98
17,3,3,11266,881727,4878828,97
18,8,8,11258,872029,4839076,96
19,5,5,11253,862290,4799520,95
20,3,3,11250,852787,4761148,94
21,2,2,11248,843206,4722584,94
22,5,5,11243,833583,4683492,93
23,5,5,11238,824256,4645584,92
24,2,2,11236,814601,4606724,91
25,4,4,11232,805087,4568188,91
26,7,7,11224,795823,4530172,90
27,8,8,11216,786375,4491420,89
28,5,5,11210,777004,4453216,88
29,3,3,11207,767637,4415388,88
30,2,2,11205,758183,4377332,87
31,3,3,11202,748788,4339392,86
32,4,4,11198,739453,4301572,85
33,4,4,11194,730255,4264300,85
34,3,3,11191,721287,4228068,84
35,5,5,11186,712349,4191716,83
36,1,1,11185,703420,4155880,83
37,6,6,11179,694739,4120436,82
38,7,7,11172,685812,4083888,81
39,5,4,11167,676960,4047880,80
40,4,4,11163,668247,4012548,80
41,6,6,11157,659409,3976476,79
42,5,5,11152,650824,3941536,78
43,5,5,11147,641917,3905308,78
44,4,4,11143,633209,3869996,77
45,5,5,11137,624710,3835280,76
46,5,5,11131,616116,3800184,76
47,2,2,11129,607696,3766264,75
48,7,7,11122,599125,3731140,74
49,9,9,11113,590527,3695668,73
50,10,10,11103,581970,3660240,73
51,5,5,11097,573418,3625312,72
52,6,6,11091,564875,3590420,71
53,9,9,11082,556553,3556052,71
54,9,9,11073,548173,3521452,70
55,8,8,11065,539880,3487320,69
56,2,2,11063,531765,3454620,69
57,5,5,11058,523253,3419972,68
58,11,11,11047,514861,3385084,67
59,7,7,11040,507044,3352976,67
60,5,5,11035,499396,3321784,66
61,5,5,11030,491559,3289836,66
62,8,8,11022,483912,3258288,65
63,12,12,11010,476128,3225712,64
64,12,12,10998,468570,3194040,64
65,5,5,10993,461044,3163336,63
66,9,9,10984,453566,3132344,62
67,11,11,10973,446159,3101396,62
68,10,10,10963,438676,3070264,61
69,11,11,10952,431361,3039684,61
70,4,4,10948,424014,3009816,60
71,10,10,10938,416884,2980096,59
72,7,7,10931,409766,2950784,59
73,10,10,10921,402567,2920788,58
74,7,7,10913,395294,2890736,58
75,9,9,10904,388210,2861320,57
76,9,9,10895,381191,2832164,56
77,11,11,10884,374143,2802652,56
78,12,12,10872,367051,2772844,55
79,7,7,10865,359973,2743692,55
80,7,7,10858,353148,2715552,54
81,10,10,10848,347141,2690324,54
82,3,3,10844,340474,2663176,53
83,5,5,10839,333959,2636516,53
84,11,11,10828,327583,2609692,52
85,7,7,10821,321182,2583248,52
86,9,9,10812,320641,2580004,51
87,7,7,10805,314366,2554064,51
88,17,17,10788,307940,2526320,50
89,8,8,10780,302307,2502828,50
90,11,11,10768,296159,2476796,49
91,10,10,10758,289951,2450764,49
92,13,13,10745,283834,2424736,48
93,11,11,10734,281150,2412680,48
94,13,13,10721,275137,2387068,48
95,18,18,10702,269300,2361440,47
96,13,13,10689,263905,2338300,47
97,13,13,10676,258098,2313512,46
98,12,12,10664,257481,2309604,46
99,15,15,10649,251803,2285092,46
100,18,18,10630,246035,2259740,45
101,10,10,10620,245167,2255068,45
