phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,4995,4995,76311,1751820,16164600,159
2,43,43,76267,1740309,16113276,158
3,57,57,76210,1729039,16061356,158
4,61,61,76149,1717718,16008752,157
5,61,61,76088,1706439,15956316,157
6,52,52,76035,1694908,15903832,156
7,61,61,75974,1683740,15851840,156
8,39,39,75934,1672818,15803352,155
9,50,50,75883,1661873,15753452,155
10,69,69,75812,1650644,15700016,154
11,58,58,75754,1639748,15649472,154
12,73,73,75680,1628932,15597328,153
13,58,58,75621,1618154,15547136,153
14,59,59,75559,1607467,15496948,152
15,69,69,75489,1596673,15445372,152
16,56,56,75433,1585567,15394228,151
17,65,65,75363,1574722,15342448,151
18,49,49,75313,1564071,15293844,150
19,57,57,75256,1553417,15244388,150
20,58,58,75198,1542852,15195168,149
21,66,66,75130,1532357,15145028,149
22,63,63,75065,1521591,15094164,148
23,65,65,75000,1511302,15045208,148
24,58,58,74938,1500531,14994684,148
25,63,63,74873,1490089,14945116,147
26,68,68,74803,1479328,14893672,147
27,54,54,74748,1468985,14845700,146
28,59,59,74688,1458695,14797340,146
29,55,55,74632,1448161,14748484,145
30,65,65,74565,1437690,14698560,145
31,54,54,74509,1427424,14650776,144
32,70,70,74436,1417142,14600888,144
33,72,72,74362,1407088,14551792,143
34,69,69,74291,1397032,14503048,143
35,65,65,74222,1386886,14454184,142
36,60,60,74162,1376898,14407032,142
37,67,67,74095,1366818,14358672,141
38,86,86,74008,1356875,14308460,141
39,75,75,73931,1346823,14259012,140
40,80,80,73845,1337057,14209628,140
41,68,68,73775,1327273,14162092,139
42,72,72,73697,1317478,14113552,139
43,68,68,73627,1307806,14066464,138
44,80,80,73541,1298306,14018144,138
45,71,71,73466,1288664,13970576,137
46,59,59,73404,1279086,13924824,137
47,69,69,73333,1269317,13877228,137
48,68,68,73260,1259640,13829760,136
49,77,77,73181,1250041,13781884,136
50,82,82,73097,1240780,13734760,135
51,75,75,73022,1231439,13688396,135
52,75,75,72944,1222054,13641496,134
53,78,78,72864,1212902,13595288,134
54,65,65,72793,1203449,13548956,133
55,77,77,72712,1194298,13502632,133
56,83,83,72622,1184960,13454480,132
57,86,86,72531,1175872,13407208,132
58,85,85,72443,1166761,13360204,131
59,93,93,72342,1157748,13312032,131
60,72,72,72264,1148803,13266892,131
61,74,74,72182,1139898,13221432,130
62,96,96,72082,1131113,13174292,130
63,66,66,72012,1122064,13129696,129
64,89,89,71916,1113235,13082860,129
65,80,80,71830,1104364,13037056,128
66,102,102,71722,1095573,12988932,128
67,87,87,71628,1086612,12941808,127
68,80,80,71538,1077890,12896120,127
69,89,89,71445,1069140,12849960,126
70,103,103,71335,1060589,12802556,126
71,79,79,71250,1051917,12757668,126
72,101,101,71141,1043152,12709528,125
73,72,72,71066,1034525,12666020,125
74,79,79,70982,1026054,12622056,124
75,100,100,70874,1017541,12575044,124
76,90,90,70781,1009295,12530900,123
77,88,88,70686,1001014,12486376,123
78,81,81,70598,992676,12442464,122
79,85,85,70508,984410,12398600,122
80,88,88,70409,976056,12353304,122
81,83,83,70315,967927,12309508,121
82,99,99,70210,959808,12264432,121
83,88,88,70113,951853,12220972,120
84,80,80,70022,943824,12177936,120
85,109,109,69900,935669,12130676,119
86,87,87,69807,927685,12087580,119
87,81,81,69716,919735,12044860,119
88,94,94,69609,911876,12000584,118
89,81,81,69516,904150,11958520,118
90,91,91,69411,896172,11914008,117
91,108,108,69293,888406,11868784,117
92,98,98,69186,880406,11823944,116
93,99,99,69073,872636,11779304,116
94,124,124,68937,864854,11731856,115
95,100,100,68823,857185,11687500,115
96,113,113,68701,849598,11642512,115
97,105,105,68586,841980,11598240,114
98,101,101,68476,834360,11554560,114
99,103,103,68362,826869,11510916,113
100,115,115,68226,819264,11464176,113
101,98,97,68112,811720,11420320,112
102,84,84,68017,804292,11379208,112
103,92,92,67916,796911,11337564,112
104,103,103,67800,789547,11294188,111
105,101,101,67682,782381,11251364,111
106,108,108,67560,775182,11207928,110
107,89,89,67458,767975,11166860,110
108,99,99,67345,760713,11124252,110
109,139,139,67188,753441,11076324,109
110,106,106,67065,746429,11033516,109
111,117,117,66942,739425,10990740,108
112,101,101,66828,732463,10949212,108
113,128,127,66691,725599,10905316,107
114,114,114,66562,718677,10862148,107
115,113,113,66434,711928,10819792,107
116,120,120,66295,705082,10775728,106
117,109,109,66173,698214,10733616,106
118,137,137,66025,691271,10688084,105
119,120,120,65883,684367,10643428,105
120,115,115,65746,677616,10599984,104
121,131,131,65603,670982,10556288,104
122,128,128,65459,664313,10512332,104
123,125,125,65320,657688,10469152,103
124,114,114,65192,651225,10427940,103
125,94,94,65079,644723,10388372,102
126,130,130,64928,638314,10344616,102
127,132,132,64776,631892,10300688,101
128,126,126,64630,625688,10258352,101
129,117,117,64496,619459,10217356,101
130,130,130,64351,612976,10174024,100
131,135,135,64196,606714,10130376,100
132,124,124,64051,600450,10087920,99
133,130,130,63905,594206,10045424,99
134,123,123,63759,588033,10003212,99
135,129,129,63615,581769,9960876,98
136,121,121,63479,575652,9920088,98
137,126,126,63332,569592,9878208,97
138,142,142,63166,563362,9833368,97
139,135,135,63008,557360,9790400,96
140,153,153,62829,551321,9744764,96
141,126,126,62679,545364,9702936,96
142,122,122,62531,539258,9660752,95
143,134,134,62368,533459,9617996,95
144,159,159,62187,527730,9573360,94
145,140,140,62021,522051,9530724,94
146,142,142,61853,516377,9487868,93
147,125,125,61706,510646,9447304,93
148,138,138,61539,505085,9405020,93
149,151,151,61365,499401,9361404,92
150,143,142,61198,493833,9319092,92
151,142,142,61037,488105,9276860,91
152,139,139,60862,482550,9233640,91
153,131,131,60718,477171,9194844,91
154,193,193,60497,471729,9146556,90
155,103,103,60365,466549,9109996,90
156,134,133,60202,461309,9069476,89
157,152,152,60015,455954,9025616,89
158,168,168,59825,450648,8981592,89
159,144,144,59652,445384,8939776,88
160,136,136,59483,440241,8898924,88
161,179,179,59261,434983,8851252,87
162,156,156,59075,429777,8808108,87
163,143,142,58887,424796,8765624,86
164,160,160,58696,419734,8722456,86
165,181,181,58477,414435,8674980,86
166,180,180,58260,409348,8628592,85
167,157,157,58071,404438,8586272,85
168,145,145,57887,399520,8544520,84
169,186,186,57659,394598,8497472,84
170,179,179,57441,389627,8451428,83
171,198,198,57201,384645,8402700,83
172,173,173,56995,379916,8359064,82
173,169,169,56789,375144,8315256,82
174,166,165,56586,370459,8272156,82
175,173,173,56373,365646,8227344,81
176,183,183,56161,360942,8183088,81
177,186,186,55927,356244,8136216,80
178,174,174,55709,351612,8091528,80
179,169,169,55488,346956,8046384,79
180,183,183,55256,342483,8000652,79
181,169,169,55043,338002,7957168,78
182,166,166,54839,333503,7914692,78
183,185,185,54620,329068,7870672,78
184,171,171,54392,324479,7824956,77
185,177,177,54169,320127,7780788,77
186,181,181,53936,315689,7735076,76
187,165,165,53732,311213,7692692,76
188,176,176,53499,306952,7647688,75
189,162,162,53294,302752,7606288,75
190,178,178,53073,298558,7562992,75
191,177,177,52832,294267,7516908,74
192,210,210,52580,290064,7469856,74
193,201,200,52320,285934,7422136,73
194,207,207,52058,281704,7373776,73
195,203,203,51791,277465,7324780,72
196,180,180,51546,273333,7278852,72
197,206,206,51290,269282,7231928,71
198,219,219,51024,265309,7184116,71
199,203,203,50748,261211,7134604,70
200,202,202,50486,257282,7087448,70
201,175,175,50249,253386,7043424,70
202,222,222,49963,249375,6993060,69
203,222,222,49686,245519,6944396,69
204,208,208,49429,241738,6898432,68
205,199,198,49161,237961,6851164,68
206,205,205,48894,234186,6804024,67
207,232,232,48591,230528,6753032,67
208,221,221,48321,226955,6706340,66
209,217,217,48027,223225,6656140,66
210,219,219,47740,219632,6607328,65
211,258,258,47420,216121,6554884,65
212,226,226,47112,212571,6503724,64
213,207,207,46824,209044,6455056,64
214,249,249,46512,205464,6403296,63
215,236,236,46206,202068,6352992,63
216,222,222,45908,198567,6303228,62
217,248,248,45596,195185,6252260,62
218,252,252,45282,191665,6200500,61
219,224,224,44965,188284,6148936,61
220,243,243,44649,184811,6097124,60
221,230,230,44345,181398,6046992,60
222,258,257,44018,178195,5994940,59
223,266,266,43647,174801,5936844,59
224,279,279,43277,171556,5879464,58
225,239,239,42946,168381,5827044,58
226,255,255,42594,165132,5771808,57
227,221,221,42271,161971,5720404,57
228,255,255,41911,158827,5664628,56
229,249,249,41569,155759,5611316,56
230,269,269,41208,152680,5555680,55
231,268,268,40848,149566,5500024,54
232,255,255,40515,146569,5448076,54
233,255,255,40172,143592,5395008,53
234,269,268,39814,140709,5340516,53
235,270,270,39445,137746,5284384,52
236,267,267,39084,134876,5229584,52
237,237,235,38758,132050,5179160,51
238,273,273,38369,129269,5121356,51
239,280,280,37983,126467,5063828,50
