phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,5177,30195,742020,84
2,4502,25997,644228,74
3,4063,22680,578280,64
4,3622,19282,511768,57
5,3216,16365,451380,51
6,2909,13885,404620,45
7,2605,11856,360024,40
8,2445,10263,334452,36
9,2176,8705,295940,33
10,2053,7464,276216,30
11,1876,6117,249588,28
12,1781,5063,233972,25
13,1649,4226,214784,24
14,1551,3550,200320,22
15,1441,2929,184636,20
16,1331,2455,169540,19
17,1258,2101,159364,17
18,1163,1801,146764,16
19,1038,1482,130488,15
20,864,1160,108320,13
21,693,870,86640,11
22,457,576,57144,9
23,283,335,35300,6
24,134,130,16600,4
25,45,34,5536,2
