phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,17,16,11338,887199,4909356,110
2,181,181,11145,846994,4725376,97
3,76,76,11068,822270,4617240,94
4,52,52,11002,808629,4554756,92
5,47,47,10937,790658,4475072,90
6,53,53,10868,773687,4398908,89
7,42,42,10798,757356,4325184,87
8,36,36,10760,743161,4263844,86
9,64,64,10660,729905,4198820,85
10,28,28,10617,713690,4128800,83
11,19,19,10576,702983,4081052,82
12,50,50,10425,690534,4013136,81
13,28,28,10322,677611,3949084,79
14,69,69,10213,664781,3884684,78
15,12,12,10165,652102,3828208,77
16,16,16,10140,637954,3768616,76
17,59,59,10030,625506,3705624,75
18,16,16,9973,612003,3644772,73
19,26,26,9902,596350,3573640,72
20,55,55,9801,587273,3525212,71
21,23,23,9722,577385,3476180,70
22,88,88,9585,569097,3426588,69
23,26,26,9499,557834,3371216,68
24,24,24,9424,542482,3300808,67
25,38,38,9339,527867,3232148,66
26,38,38,9236,513729,3163236,64
27,50,50,9158,497619,3089436,63
28,32,32,9029,482035,3011620,61
29,77,77,8893,468259,2940196,60
30,18,18,8825,452779,2870116,58
31,1,1,8713,436787,2792708,57
32,67,67,8615,423545,2727980,55
33,7,7,8544,408146,2657864,54
34,20,20,8395,393686,2582144,53
35,43,43,8322,379641,2517204,51
36,10,10,8219,366324,2451576,50
37,19,19,8119,352699,2385076,49
38,53,53,8022,338438,2316392,47
39,49,49,7931,325560,2253960,46
40,23,23,7836,313808,2195552,45
41,31,31,7719,301690,2133040,44
42,32,32,7663,286629,2066076,42
43,38,38,7563,274441,2005324,41
44,28,28,7381,261590,1932080,40
45,59,59,7194,246061,1847524,38
46,41,41,7052,232035,1774380,37
47,59,59,6891,219308,1704152,35
48,71,71,6670,206103,1624812,34
49,98,98,6466,190700,1538720,32
50,142,142,6151,176262,1443168,30
51,98,98,5977,162838,1368592,29
52,145,145,5710,149970,1285080,27
53,76,76,5326,135636,1181664,26
54,159,159,5003,122362,1089808,23
55,87,87,4788,111555,1020780,22
56,92,92,4520,99799,941596,20
57,114,114,4094,88843,846652,19
58,80,80,3802,78710,771080,17
59,82,82,3490,70212,699648,15
60,84,84,3267,61013,636092,14
61,95,95,3012,50892,565008,13
62,87,87,2707,41820,492120,11
63,178,178,2400,31557,414228,10
64,94,94,2201,23462,357968,8
65,104,104,1998,17529,309876,7
66,75,75,1680,10845,244980,6
67,144,144,1345,6700,188200,5
68,185,185,923,3374,124256,4
69,169,168,428,1068,55632,3
70,114,112,0,0,0,2
