phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,4995,4995,72528,1165066,13363624,159
2,7012,7012,63864,916673,11330372,123
3,4065,4062,58399,761726,10054784,106
4,2918,2915,54311,636082,9061648,95
5,2253,2250,51093,544438,8308912,86
6,1664,1662,48718,474853,7745572,80
7,1344,1341,46747,422808,7300872,75
8,1264,1264,44988,382504,6928576,70
9,812,811,43738,349927,6648268,67
10,669,669,42652,318615,6392700,65
11,693,693,41714,294814,6184936,62
12,603,603,40799,273743,5990852,60
13,518,518,40057,256765,5833900,58
14,468,468,39404,242875,5699980,57
15,454,454,38775,231873,5580492,56
16,400,400,38191,221350,5468320,55
17,383,383,37600,212139,5360556,53
18,482,482,36941,204304,5250136,52
19,355,355,36364,197013,5151732,51
20,421,421,35711,190739,5048276,50
21,383,383,35022,184039,4938796,49
22,493,493,34212,175329,4806756,48
23,564,564,33307,167574,4667136,47
24,582,581,32355,159321,4519884,45
25,748,748,31209,150176,4345784,44
26,698,696,30083,140529,4172076,42
27,829,828,28810,131386,3982744,40
28,802,802,27547,122465,3795500,38
29,890,888,26141,112820,3588200,37
30,919,917,24604,103394,3366056,34
31,1016,1013,23092,94640,3149600,32
32,963,961,21567,86373,2933532,30
33,912,911,20044,78322,2718568,28
34,946,943,18469,69940,2496040,26
35,1029,1025,16807,62589,2267196,24
36,868,866,15264,55025,2051780,22
37,923,921,13736,48587,1842668,19
38,827,825,12153,42416,1628024,18
39,696,695,10807,36971,1444724,16
40,625,622,9516,31902,1269528,14
41,625,624,8230,27234,1096536,12
42,527,527,7057,23152,939448,11
43,471,470,5850,19038,778152,9
44,426,423,4772,15367,634108,8
45,329,326,3803,12031,504484,6
46,268,268,2895,8952,383208,5
47,189,189,2075,5815,272260,4
48,197,197,1178,3062,153608,3
49,128,128,337,759,43476,2
