phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,5580,32138,798152,84
2,5458,31079,779276,79
3,5388,30442,768328,77
4,5334,29869,759556,76
5,5284,29534,752216,75
6,5221,29112,742968,74
7,5181,28756,736744,73
8,5137,28350,729840,73
9,5092,28016,723104,72
10,5040,27643,715372,71
11,4976,27253,706132,71
12,4915,26832,697128,70
13,4868,26415,689820,69
14,4816,26008,681952,68
15,4747,25545,671820,67
16,4677,25144,661816,66
17,4600,24732,650928,65
18,4541,24354,642336,64
19,4470,23929,632116,64
20,4376,23517,619188,63
21,4315,23151,610404,61
22,4268,22837,603508,60
23,4238,22524,598656,60
24,4196,22219,592396,59
25,4157,21900,586440,59
26,4109,21561,579324,58
27,4056,21183,571452,57
28,4011,20800,564520,57
29,3958,20460,556800,56
30,3915,20108,550232,55
31,3873,19771,543844,54
32,3829,19434,537216,54
33,3787,19074,530736,53
34,3752,18750,525240,53
35,3702,18357,517668,52
36,3668,17992,512128,51
37,3620,17650,505000,51
38,3572,17285,497780,50
39,3535,16930,491920,49
40,3484,16556,484304,49
41,3444,16261,478324,48
42,3409,15966,472944,47
43,3359,15638,465632,47
44,3313,15345,458940,46
45,3269,15005,452300,46
46,3222,14702,445448,45
47,3180,14419,439276,44
48,3122,14094,431016,44
49,3056,13752,421728,43
50,2994,13397,412868,42
51,2933,13060,404200,41
52,2868,12747,395148,40
53,2809,12426,386784,39
54,2755,12049,378796,38
55,2705,11719,371476,38
56,2653,11362,363808,37
57,2597,11053,355852,36
58,2531,10723,346612,35
59,2484,10426,339784,35
60,2416,10090,330280,34
61,2370,9771,323484,33
62,2288,9421,312244,32
63,2223,8988,302712,31
64,2147,8532,291768,30
65,2086,8103,282732,29
66,2017,7758,273072,28
67,1967,7424,265736,27
68,1907,7079,257156,27
69,1826,6727,246028,26
70,1768,6350,237560,25
71,1692,6013,227092,24
72,1616,5642,216488,23
73,1552,5256,207264,22
74,1479,4843,196852,21
75,1410,4478,187112,20
76,1344,4111,177724,19
77,1278,3766,168424,18
78,1201,3417,157788,17
79,1122,3081,146964,16
80,1068,2781,139284,15
81,956,2454,124536,14
82,896,2221,116404,13
83,808,1894,104536,12
84,728,1663,94012,11
85,643,1426,82864,10
86,564,1182,72408,9
87,467,950,59840,8
88,372,756,47664,6
89,277,555,35460,5
90,198,338,25112,4
91,113,174,14256,3
92,28,35,3500,2
