phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,11162,837297,4688628,109
2,11094,764768,4390352,92
3,11089,729741,4249644,86
4,11072,707809,4159876,84
5,11000,692779,4091116,82
6,10998,687479,4069676,80
7,10990,680176,4039504,80
8,10989,673286,4011824,79
9,10976,668500,3991120,79
10,10968,664097,3972548,79
11,10965,661322,3961088,78
12,10962,657989,3947396,78
13,10958,654308,3932192,78
14,10956,651803,3921932,77
15,10951,649294,3911296,77
16,10943,646808,3900392,77
17,10936,644489,3890276,77
18,10935,642347,3881588,77
19,10935,639903,3871812,76
20,10935,637377,3861708,76
21,10933,635408,3853592,76
22,10926,633174,3843816,76
23,10922,630738,3833592,76
24,10919,628309,3823516,75
25,10917,625749,3813036,75
26,10915,623513,3803852,75
27,10911,621503,3795332,75
28,10910,619898,3788792,75
29,10909,618080,3781400,75
30,10909,615547,3771268,74
31,10886,613163,3758972,74
32,10884,611107,3750508,74
33,10884,609680,3744800,74
34,10883,607828,3737272,74
35,10871,605635,3727060,74
36,10862,603249,3716436,73
37,10840,601878,3708312,73
38,10829,600612,3701928,73
39,10808,598565,3691220,73
40,10803,596263,3681412,73
41,10759,593681,3665804,72
42,10751,589952,3649928,72
43,10749,584518,3627952,72
44,10744,577811,3600524,71
45,10710,569912,3564848,71
46,10524,562850,3514280,70
47,10431,560037,3491868,69
48,10427,557924,3482936,69
49,10401,555691,3470884,69
50,10364,553418,3457352,68
51,10352,551407,3447868,68
52,10331,549579,3438036,68
53,10327,547324,3428536,68
54,10322,544792,3417808,68
55,10302,542636,3406784,67
56,10284,539623,3392572,67
57,10281,536754,3380736,67
58,10276,533689,3367876,67
59,10274,530047,3353068,66
60,10268,526805,3339380,66
61,10263,523203,3324372,66
62,10254,519654,3309096,65
63,10249,515808,3293112,65
64,10245,511848,3276792,65
65,10237,506998,3256432,65
66,10229,502240,3236440,64
67,10225,496669,3213676,64
68,10221,491423,3192212,63
69,10214,484940,3165440,63
70,10209,477408,3134712,62
71,10186,469475,3100220,62
72,10123,462255,3063780,61
73,10115,455668,3036472,60
74,10050,450328,3007312,60
75,10034,445282,2985208,59
76,9949,441068,2958152,59
77,9893,435740,2930120,58
78,9778,431545,2899540,58
79,9759,427679,2881796,57
80,9622,424514,2852696,57
81,9531,419612,2822168,56
82,9506,415084,2801056,56
83,9453,409353,2771772,55
84,9384,403228,2738992,55
85,9300,397617,2706468,54
86,9136,392661,2666964,53
87,9091,387370,2640400,53
88,9043,381607,2611588,52
89,8993,375419,2580836,52
90,8955,371521,2560684,51
91,8903,367855,2539780,51
92,8825,363577,2513308,50
93,8762,358895,2487020,50
94,8656,354251,2455724,49
95,8583,349941,2429724,49
96,8445,345805,2396620,48
97,8393,341367,2372628,47
98,8339,337509,2350716,47
99,8325,333494,2332976,46
100,8291,329054,2311136,46
101,8268,324240,2289120,46
102,8245,319275,2266500,45
103,8227,314097,2243628,45
104,8209,309436,2222824,44
105,8186,303619,2196796,44
106,8166,299012,2175968,43
107,8144,293373,2150772,43
108,8095,287533,2121532,43
109,8072,281320,2093920,42
110,8041,274811,2064164,41
111,8010,267803,2032412,41
112,7990,259643,1997372,40
113,7973,252579,1967076,40
114,7945,244963,1933252,39
115,7901,238879,1903636,38
116,7879,232596,1875864,38
117,7859,225860,1846520,37
118,7790,218290,1807960,37
119,7762,210054,1771656,36
120,7673,203082,1733088,35
121,7592,195674,1693736,34
122,7479,189772,1656568,34
123,7407,183620,1623320,33
124,7276,175442,1574888,32
125,7120,168464,1528256,31
126,6965,161147,1480388,30
127,6880,154720,1444480,29
128,6830,148687,1414348,29
129,6795,141306,1380624,28
130,6748,134918,1349432,27
131,6644,129621,1315764,27
132,6600,122208,1280832,26
133,6535,114821,1243484,26
134,6352,107762,1193288,25
135,6164,101094,1144056,24
136,6043,95256,1106184,23
137,5903,90965,1072220,22
138,5822,86453,1044452,21
139,5766,80087,1012268,21
140,5642,74013,973092,20
141,5470,67940,928160,20
142,5308,62771,888044,19
143,5097,57582,841968,18
144,4909,51955,796900,17
145,4548,46487,731708,16
146,4302,41971,684124,15
147,3905,34354,606016,14
148,3552,27855,537660,12
149,3229,23002,479488,11
150,2885,19141,422764,10
151,2540,15162,365448,9
152,2067,10441,289804,8
153,1581,6783,216852,6
154,1202,3921,159924,5
155,681,1580,88040,4
156,184,254,23096,2
