phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,829,828,5032,34296,741024,74
2,5,5,5008,33801,736164,73
3,9,9,4984,33349,731476,73
4,16,16,4952,32905,725860,72
5,9,9,4921,32430,720240,72
6,9,9,4893,31985,715100,71
7,5,5,4869,31559,710516,71
8,7,7,4839,31115,705140,70
9,9,9,4803,30677,699068,70
10,14,14,4770,30346,693784,69
11,9,9,4744,29951,689084,69
12,12,12,4714,29575,683980,68
13,6,6,4691,29260,679960,68
14,12,12,4658,28859,674396,67
15,9,9,4634,28501,670084,67
16,11,11,4608,28192,665728,66
17,8,8,4584,27872,661568,66
18,5,5,4561,27456,657144,65
19,16,16,4521,27039,650676,65
20,6,6,4486,26667,644988,64
21,9,9,4458,26242,639928,64
22,12,12,4433,25903,635572,63
23,5,5,4406,25577,631028,63
24,12,12,4369,25228,625192,62
25,14,14,4339,24912,620328,62
26,4,4,4307,24520,614920,61
27,9,9,4277,24146,609824,61
28,12,12,4241,23735,603860,60
29,11,11,4206,23317,597988,60
30,9,9,4174,22937,592628,59
31,11,11,4150,22576,588304,59
32,15,15,4107,22186,581584,58
33,9,9,4080,21839,576956,58
34,5,5,4051,21476,572024,57
35,13,13,4016,21127,566428,57
36,6,6,3984,20851,561484,56
37,10,10,3954,20465,556340,56
38,11,11,3915,20104,550216,55
39,11,11,3888,19767,545628,54
40,15,14,3856,19411,540364,54
41,10,10,3828,19074,535656,53
42,9,9,3806,18806,531944,53
43,6,5,3783,18463,527812,53
44,8,8,3752,18178,522952,52
45,11,11,3721,17869,517996,52
46,6,6,3685,17558,512432,51
47,12,12,3644,17283,506412,51
48,14,14,3605,16986,500544,50
49,9,9,3571,16663,495172,50
50,11,11,3544,16390,490840,49
51,8,8,3514,16139,486236,49
52,10,10,3473,15837,480108,48
53,13,13,3435,15517,474268,48
54,8,8,3411,15286,470464,47
55,8,8,3380,14988,465552,47
56,10,10,3347,14727,460548,46
57,11,11,3313,14406,455184,46
58,15,15,3268,14101,448564,45
59,13,13,3235,13829,443516,44
60,9,9,3203,13558,438592,44
61,8,8,3175,13306,434224,43
62,10,10,3135,13001,428204,43
63,11,11,3092,12650,421640,42
64,16,16,3044,12327,414588,42
65,8,8,3010,12085,409540,41
66,11,11,2968,11818,403432,41
67,12,12,2934,11546,398264,40
68,12,12,2890,11267,391868,40
69,12,12,2854,11018,386552,39
70,10,10,2824,10770,381960,38
71,10,10,2775,10520,375080,38
72,12,12,2732,10229,368756,37
73,7,7,2703,9981,364284,37
74,6,6,2666,9743,358892,36
75,10,10,2624,9507,352908,36
76,9,9,2581,9242,346688,35
77,12,12,2544,9029,341396,34
78,5,5,2516,8836,337264,34
79,12,12,2484,8657,332708,33
80,10,10,2443,8425,326860,33
81,9,9,2408,8226,321864,32
82,7,7,2382,7995,317820,32
83,10,10,2342,7780,312160,32
84,6,6,2309,7593,307452,31
85,6,6,2276,7402,302728,31
86,9,9,2237,7177,297148,30
87,7,7,2190,6948,290592,30
88,12,12,2140,6760,283840,29
89,8,8,2105,6583,278932,28
90,10,10,2065,6393,273372,28
91,12,12,2020,6202,267208,27
92,10,10,1987,6024,262536,27
93,6,6,1959,5814,258336,26
94,12,12,1915,5626,252304,26
95,7,7,1875,5426,246704,25
96,15,14,1837,5252,241448,25
97,7,7,1796,5084,235856,24
98,8,8,1749,4923,229572,24
99,12,12,1712,4753,224452,23
100,6,6,1673,4568,219032,22
101,6,6,1630,4397,213188,22
102,8,8,1588,4215,207420,21
103,7,7,1539,4066,200944,21
104,4,4,1486,3907,193948,20
105,5,5,1429,3702,186288,19
106,2,2,1385,3525,180300,19
107,11,11,1332,3363,173292,18
108,9,8,1270,3176,165104,17
109,11,11,1232,3043,160012,17
110,5,5,1187,2866,153904,16
111,10,10,1141,2719,147796,15
112,5,5,1088,2565,140820,15
113,4,4,1047,2450,135440,14
114,6,6,997,2306,128864,14
115,9,9,953,2161,123004,13
116,8,8,894,2031,115404,12
117,5,5,858,1926,110664,12
118,4,4,825,1827,106308,11
119,7,7,790,1741,101764,11
120,6,6,731,1554,93936,10
121,7,7,679,1424,87176,10
122,3,3,624,1273,79972,9
123,6,6,563,1118,72032,8
124,3,3,507,976,64744,8
125,6,6,449,850,57280,7
126,3,3,394,731,50204,6
127,2,2,338,577,42868,5
128,6,6,283,456,35784,5
129,4,4,227,339,28596,4
130,1,1,160,221,20084,3
131,2,2,81,95,10100,2
