phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,11367,1038509,5518076,109
2,11365,1028158,5476432,109
3,11365,1018117,5436268,108
4,11365,1008381,5397324,107
5,11365,998409,5357436,106
6,11364,988503,5317692,105
7,11364,978655,5278300,105
8,11362,968957,5239268,104
9,11360,959114,5199656,103
10,11359,949326,5160384,102
11,11356,939441,5120484,102
12,11354,929644,5081056,101
13,11354,920030,5042600,100
14,11354,910336,5003824,99
15,11354,900690,4965240,99
16,11351,891225,4927020,98
17,11348,881628,4888272,97
18,11348,872092,4850128,96
19,11346,862507,4811548,96
20,11346,853039,4773676,95
21,11344,843573,4735572,94
22,11341,834045,4697100,93
23,11341,824833,4660252,92
24,11340,815731,4623724,92
25,11337,806675,4587140,91
26,11335,797376,4549704,90
27,11333,788163,4512612,90
28,11332,778970,4475720,89
29,11330,769763,4438652,88
30,11326,760646,4401704,87
31,11326,751525,4365220,87
32,11325,742600,4329400,86
33,11324,733619,4293356,85
34,11324,724872,4258368,85
35,11321,716096,4222904,84
36,11318,707116,4186624,83
37,11314,698136,4150224,82
38,11312,689438,4115192,82
39,11311,680483,4079252,81
40,11311,671782,4044448,80
41,11309,662956,4008904,80
42,11308,654324,3974256,79
43,11307,645552,3939048,78
44,11307,636711,3903684,78
45,11304,628018,3868552,77
46,11301,619343,3833492,76
47,11297,610671,3798324,76
48,11291,602048,3763112,75
49,11286,593595,3728700,74
50,11281,585235,3694660,73
51,11274,576868,3660352,73
52,11269,568672,3626968,72
53,11267,560225,3592940,72
54,11263,551966,3559424,71
55,11260,543497,3525188,70
56,11256,535340,3492080,69
57,11252,527388,3459792,69
58,11251,519231,3427044,68
59,11247,511013,3393692,68
60,11245,502757,3360428,67
61,11241,494948,3328712,66
62,11235,486801,3295404,66
63,11228,478652,3261968,65
64,11221,470655,3229140,64
65,11219,462719,3197156,64
66,11216,455085,3166260,63
67,11212,447405,3135060,62
68,11210,439500,3103200,62
69,11204,431644,3071056,61
70,11201,423857,3039548,61
71,11195,416216,3008264,60
72,11190,408715,2977660,59
73,11189,401246,2947664,59
74,11187,393629,2916956,58
75,11181,386118,2886192,58
76,11178,378755,2856380,57
77,11173,371431,2826484,56
78,11166,364276,2797024,56
79,11158,357080,2767280,55
80,11157,349819,2738116,55
81,11156,346802,2725928,54
82,11151,339838,2697472,54
83,11148,332715,2668620,53
84,11146,325763,2640572,53
85,11141,318953,2612732,52
86,11138,318216,2609424,52
87,11137,311287,2581588,52
88,11134,304329,2553396,51
89,11121,297576,2524824,50
90,11113,296853,2520972,50
91,11108,290275,2494060,50
92,11100,283704,2466816,49
93,11090,283147,2463388,49
94,11084,276624,2436576,49
95,11076,270092,2409488,48
96,11071,269610,2406960,48
97,11059,263514,2381136,48
98,11056,257255,2355740,47
99,11053,256964,2354216,47
100,11046,250664,2328176,47
101,11035,244640,2302760,46
102,11027,242273,2292332,46
103,11018,236466,2268024,45
104,11005,231196,2245384,45
105,10997,225943,2223412,44
106,10990,220941,2202564,44
107,10981,220656,2200344,44
108,10969,215554,2178496,44
109,10956,210446,2156504,43
110,10940,205581,2135124,43
111,10933,200675,2114660,42
112,10921,197821,2101804,42
113,10909,193142,2081648,42
114,10904,191060,2072720,41
115,10896,186308,2052752,41
116,10885,182678,2036912,41
117,10869,178006,2016304,40
118,10856,177303,2011932,40
119,10850,172857,1993428,40
120,10843,171091,1985524,39
121,10831,166531,1965844,39
122,10816,163579,1952236,39
123,10805,159286,1933744,39
124,10794,156606,1921704,38
125,10780,152582,1903928,38
126,10766,151264,1896976,38
127,10754,149651,1889084,38
128,10742,145626,1871544,37
129,10721,145078,1866832,37
130,10710,144801,1864404,37
131,10699,140755,1846900,37
132,10684,139262,1839128,37
133,10672,135598,1823032,36
134,10661,131858,1806752,36
135,10645,130479,1799316,36
136,10634,128052,1788288,36
137,10616,124339,1771276,35
138,10594,120757,1754308,35
139,10581,119305,1746940,35
140,10561,118469,1741196,35
141,10544,115115,1725740,35
142,10519,113190,1715040,34
143,10505,112644,1711176,34
144,10495,111284,1704536,34
145,10475,107998,1688992,34
146,10453,104791,1673524,34
147,10439,101689,1659436,33
148,10415,98588,1644152,33
149,10395,95659,1630036,33
150,10369,92825,1615580,32
151,10346,89875,1601020,32
152,10325,87284,1588136,32
153,10302,86051,1580444,32
154,10277,83146,1565824,31
155,10240,80580,1551120,31
156,10214,78107,1538108,31
157,10182,76489,1527796,31
158,10152,75295,1519420,30
159,10116,72813,1505172,30
160,10087,70375,1491940,30
161,10066,68792,1483088,30
162,10038,66910,1472200,29
163,10000,65498,1461992,29
164,9971,64188,1453272,29
165,9937,61947,1440228,29
166,9901,59968,1427992,29
167,9870,58168,1417072,28
168,9831,56439,1405476,28
169,9789,55020,1394760,28
170,9758,53160,1383600,28
171,9708,51884,1372496,28
172,9668,50450,1361960,27
173,9619,48619,1348756,27
174,9587,46822,1337728,27
175,9552,45691,1329004,27
176,9516,44399,1319516,26
177,9474,43327,1310188,26
178,9440,42324,1302096,26
179,9395,41351,1292804,26
180,9334,40473,1281972,26
181,9290,39583,1273132,26
182,9239,37998,1260672,25
183,9177,36403,1246852,25
184,9134,34962,1235928,25
185,9076,34130,1225640,25
186,9003,32864,1211816,24
187,8924,31486,1196824,24
188,8861,30125,1183820,24
