phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,81285,1757392,16783768,165
2,81257,1747603,16741252,165
3,81225,1738584,16701336,164
4,81186,1729975,16662220,164
5,81145,1721163,16622052,163
6,81106,1715492,16594688,163
7,81068,1710712,16571008,163
8,81035,1701399,16529796,162
9,81003,1695997,16504348,162
10,80963,1690281,16476684,162
11,80942,1683748,16448032,162
12,80905,1679641,16427164,161
13,80867,1676308,16409272,161
14,80835,1672996,16392184,161
15,80809,1670551,16379284,161
16,80780,1667311,16362844,161
17,80752,1657715,16321100,160
18,80719,1649261,16283324,160
19,80689,1640615,16245140,160
20,80667,1630903,16203652,159
21,80637,1621426,16162144,159
22,80600,1611667,16118668,158
23,80565,1602485,16077740,158
24,80517,1593574,16036336,158
25,80484,1584252,15995088,157
26,80448,1575514,15955816,157
27,80413,1566672,15916248,156
28,80383,1557670,15876640,156
29,80354,1548413,15836132,156
30,80327,1538635,15793780,155
31,80288,1528849,15749956,155
32,80251,1519511,15708164,154
33,80210,1510680,15667920,154
34,80165,1502311,15629044,154
35,80141,1493919,15592596,153
36,80096,1484522,15549608,153
37,80058,1475103,15507372,152
38,80024,1466040,15467040,152
39,79988,1457247,15427548,152
40,79957,1449009,15390876,151
41,79921,1441022,15354608,151
42,79884,1431823,15313372,151
43,79843,1423093,15273532,150
44,79807,1414448,15234632,150
45,79766,1405925,15195620,149
46,79709,1398053,15157292,149
47,79672,1391019,15124716,149
48,79633,1382715,15086820,148
49,79585,1376272,15055288,148
50,79554,1369645,15025060,148
51,79511,1362844,14992696,147
52,79476,1357248,14966112,147
53,79446,1351793,14940692,147
54,79413,1345989,14913516,147
55,79372,1338311,14877884,146
56,79333,1331252,14844968,146
57,79291,1323901,14810524,146
58,79257,1317529,14780956,145
59,79213,1310839,14748916,145
60,79166,1304785,14719060,145
61,79121,1297547,14684708,144
62,79085,1291319,14655476,144
63,79040,1285733,14627732,144
64,79010,1279152,14597808,143
65,78976,1274795,14576300,143
66,78946,1270627,14556028,143
67,78909,1266651,14535684,143
68,78874,1261975,14512780,143
69,78831,1258633,14494252,142
70,78791,1255781,14478044,142
71,78767,1253215,14464900,142
72,78736,1250777,14451428,142
73,78699,1248558,14438112,142
74,78656,1245284,14419856,142
75,78617,1240666,14396704,141
76,78582,1236167,14374508,141
77,78541,1232029,14353036,141
78,78502,1228523,14334332,141
79,78458,1222838,14306312,141
80,78412,1218189,14282196,140
81,78368,1213872,14259648,140
82,78321,1209562,14236768,140
83,78266,1205295,14213100,140
84,78230,1199968,14187472,139
85,78177,1193417,14154908,139
86,78128,1187060,14123600,139
87,78080,1180645,14092180,139
88,78024,1174394,14060456,138
89,77979,1168786,14032624,138
90,77938,1163883,14008092,138
91,77900,1158437,13981748,137
92,77853,1153604,13956776,137
93,77802,1148843,13931612,137
94,77757,1144356,13908264,137
95,77699,1138388,13877432,136
96,77636,1132016,13844384,136
97,77587,1125840,13813800,136
98,77553,1119457,13784188,135
99,77505,1113400,13754200,135
100,77456,1107334,13724056,135
101,77418,1101518,13696232,135
102,77362,1095638,13665992,134
103,77318,1090885,13641700,134
104,77264,1086417,13617348,134
105,77217,1081578,13592352,134
106,77174,1076175,13565580,133
107,77117,1070690,13536800,133
108,77065,1066878,13515312,133
109,77009,1062400,13490680,133
110,76952,1057547,13464428,132
111,76901,1053071,13440404,132
112,76847,1048635,13416180,132
113,76789,1044468,13392552,132
114,76735,1039264,13365256,131
115,76675,1034139,13337556,131
116,76620,1028923,13310092,131
117,76559,1023666,13281744,131
118,76503,1018515,13254420,130
119,76456,1013518,13228792,130
120,76398,1008897,13203348,130
121,76352,1003525,13176340,130
122,76293,998233,13148092,129
123,76237,994005,13124460,129
124,76182,990045,13102020,129
125,76117,984814,13073296,129
126,76065,979626,13046304,128
127,76002,974688,13018992,128
128,75950,970497,12995988,128
129,75890,965278,12967912,127
130,75831,960567,12941988,127
131,75761,956080,12915640,127
132,75696,951456,12889344,127
133,75635,946579,12862516,126
134,75581,942062,12837968,126
135,75527,938112,12815688,126
136,75466,934441,12793684,126
137,75400,929717,12766868,126
138,75336,925078,12740632,125
139,75281,920561,12715964,125
140,75216,916527,12692028,125
141,75150,912382,12667528,125
142,75089,907908,12642312,124
143,75022,903703,12617452,124
144,74963,899534,12593696,124
145,74901,895735,12571060,124
146,74828,891454,12545176,123
147,74773,887215,12521620,123
148,74710,883539,12499356,123
149,74646,879957,12477348,123
150,74583,875776,12453064,122
151,74504,870622,12422968,122
152,74440,865663,12395452,122
153,74373,861432,12370488,122
154,74311,855032,12337448,121
155,74223,849610,12305200,121
156,74136,843821,12271604,121
157,74067,837837,12239388,120
158,73991,831118,12203392,120
159,73906,825364,12170176,120
160,73821,819264,12135576,119
161,73743,813534,12103296,119
162,73649,807983,12069812,119
163,73537,802535,12034580,118
164,73453,797338,12003712,118
165,73377,792631,11975764,118
166,73311,787775,11948420,118
167,73242,781929,11916756,117
168,73160,776389,11884756,117
169,73068,770978,11852072,117
170,72991,765453,11820732,116
171,72902,760526,11790344,116
172,72815,756289,11762956,116
173,72736,751807,11735548,115
174,72647,747889,11709196,115
175,72546,744096,11681904,115
176,72474,740517,11658948,115
177,72404,736414,11634136,114
178,72314,731598,11604072,114
179,72237,726849,11575836,114
180,72156,722467,11548588,114
181,72068,717973,11520052,113
182,71977,714494,11495216,113
183,71902,711233,11473172,113
184,71797,708055,11447860,113
185,71716,704408,11423552,112
186,71604,700815,11395740,112
187,71514,697249,11370676,112
188,71423,693901,11346364,112
189,71360,690280,11324320,111
190,71270,686802,11299608,111
191,71173,683396,11274344,111
192,71080,680164,11250256,111
193,71000,676740,11226960,110
194,70917,673304,11203256,110
195,70843,670120,11181640,110
196,70757,666898,11158432,110
197,70655,663421,11132284,110
198,70551,659471,11104004,109
199,70464,655738,11078632,109
200,70368,652151,11052764,109
201,70282,648214,11026696,109
202,70173,644700,10999560,108
203,70067,641458,10973872,108
204,69981,638263,10950772,108
205,69875,635080,10925320,108
206,69756,631589,10897076,107
207,69646,628359,10870956,107
208,69540,625243,10845772,107
209,69435,622003,10820212,106
210,69337,619089,10796796,106
211,69225,616065,10771260,106
212,69127,613148,10747832,106
213,69028,610106,10723784,106
214,68933,607322,10701248,105
215,68825,604590,10677360,105
216,68724,602040,10655040,105
217,68633,599518,10634032,105
218,68528,596860,10610800,104
219,68416,594152,10586528,104
220,68328,591640,10565920,104
221,68214,589056,10541904,104
222,68111,586391,10518884,104
223,67989,583766,10493744,103
224,67891,581311,10472164,103
225,67777,578847,10448628,103
226,67694,576586,10429624,103
227,67588,574198,10407352,102
228,67483,571293,10383132,102
229,67355,568605,10357020,102
230,67239,565988,10332632,102
231,67118,563420,10307840,101
232,67009,560834,10284416,101
233,66890,558475,10260700,101
234,66768,556151,10236764,101
235,66651,553679,10212836,101
236,66554,551319,10191756,100
237,66452,549026,10170344,100
238,66333,546795,10147140,100
239,66206,544668,10123392,100
240,66101,542469,10101996,99
241,65971,539982,10076448,99
242,65869,537823,10055572,99
243,65767,535688,10034792,99
244,65643,533401,10010764,99
245,65516,531219,9986796,98
246,65394,529010,9963320,98
247,65254,526771,9937564,98
248,65143,524652,9915768,98
249,65009,522569,9891356,97
250,64880,520246,9866584,97
251,64740,518258,9841832,97
252,64604,516259,9817516,97
253,64486,514161,9794964,96
254,64375,512129,9773516,96
255,64256,510258,9751752,96
256,64143,508511,9731204,96
257,64013,506775,9708660,96
258,63900,504921,9687684,95
259,63778,503186,9666104,95
260,63632,501504,9641856,95
261,63490,499863,9618252,95
262,63361,498063,9595572,94
263,63218,496310,9571400,94
264,63090,494617,9549268,94
265,62961,492940,9527080,94
266,62831,491257,9504748,94
267,62703,489561,9482604,93
268,62577,488005,9461260,93
269,62442,486410,9438680,93
270,62315,484922,9417488,93
271,62174,483252,9393888,93
272,61993,480038,9359312,92
273,61842,477060,9329280,92
274,61689,474238,9299632,92
275,61526,471614,9269576,91
276,61382,469349,9243236,91
277,61223,467304,9215976,91
278,61055,464920,9186280,91
279,60878,462756,9156384,90
280,60709,460851,9128484,90
281,60533,458952,9099768,90
282,60365,456948,9071592,89
283,60217,454974,9045936,89
284,60064,453221,9020564,89
285,59881,451415,8991380,89
286,59710,449484,8963136,88
287,59543,447779,8936276,88
288,59392,446174,8911736,88
289,59250,444690,8888760,88
290,59117,443026,8866144,87
291,58932,439828,8831152,87
292,58771,436772,8799608,87
293,58609,433751,8768084,86
294,58412,430834,8732776,86
295,58245,428112,8701848,86
296,58058,425170,8667640,86
297,57881,422453,8635532,85
298,57703,419727,8603268,85
299,57510,417107,8569628,85
300,57339,414489,8538636,84
301,57171,411851,8507924,84
302,56995,409234,8476336,84
303,56812,406818,8444712,83
304,56632,404481,8413764,83
305,56447,402503,8383652,83
306,56251,400256,8351144,82
307,56074,397440,8318640,82
308,55885,394870,8285680,82
309,55693,392296,8252344,81
310,55514,390133,8222212,81
311,55320,388171,8191084,81
312,55092,385970,8154920,81
313,54904,383794,8123656,80
314,54699,381997,8091868,80
315,54482,380245,8058820,80
316,54311,378475,8031220,79
317,54138,376091,8000924,79
318,53937,373632,7966968,79
319,53739,371398,7934272,78
320,53547,369076,7901944,78
321,53347,366733,7868572,78
322,53162,364370,7836920,77
323,52970,362132,7804928,77
324,52767,360131,7772564,77
325,52562,357994,7739416,76
326,52370,355751,7707404,76
327,52136,353614,7670776,76
328,51932,351393,7637412,75
329,51727,349289,7604396,75
330,51515,347438,7571552,75
331,51327,345612,7541688,74
332,51118,343577,7508468,74
333,50906,341675,7475420,74
334,50693,340200,7443960,74
335,50459,338347,7408468,73
336,50248,336562,7376008,73
337,50038,335073,7344852,73
338,49844,333422,7314968,72
339,49631,332043,7283892,72
340,49384,330658,7248712,72
341,49171,329058,7216752,71
342,48954,327741,7185444,71
343,48760,326447,7156988,71
344,48536,325031,7124444,70
345,48333,322870,7091440,70
346,48125,321361,7060444,70
347,47880,319464,7023456,69
348,47631,318083,6988052,69
349,47406,316729,6955636,69
350,47187,315190,6923200,68
351,46963,313961,6891404,68
352,46741,312688,6859672,68
353,46502,311286,6825384,68
354,46269,309452,6790088,67
355,46032,307011,6751884,67
356,45810,304543,6715372,66
357,45544,302310,6674520,66
358,45308,300270,6638040,66
359,45060,298141,6599764,65
360,44804,296472,6562368,65
361,44564,295060,6527920,65
362,44317,293435,6491780,64
363,44063,289465,6445420,64
364,43806,285904,6400336,63
365,43542,282772,6356128,63
366,43283,280039,6314116,63
367,43021,277178,6271232,62
368,42761,274940,6231080,62
369,42526,272867,6194588,61
370,42260,270028,6151312,61
371,42019,267453,6112092,61
372,41787,264867,6073908,60
373,41526,262639,6033676,60
374,41243,260135,5989700,59
375,40974,256466,5942744,59
376,40710,253074,5897496,59
377,40447,250186,5854384,58
378,40150,246749,5804996,58
379,39882,243263,5758892,57
380,39604,239927,5712188,57
381,39320,237445,5668180,56
382,39019,233467,5616148,56
383,38724,230901,5570484,55
384,38472,229085,5532980,55
385,38210,227436,5494944,55
386,37938,225390,5454120,54
387,37661,222242,5408288,54
388,37360,219393,5360772,53
389,37094,216497,5317268,53
390,36805,213718,5271472,52
391,36540,210486,5226744,52
392,36283,207917,5185628,52
393,36006,205285,5141860,51
394,35706,202933,5096452,51
395,35405,200306,5049824,50
396,35110,198162,5005848,50
397,34819,195921,4961964,49
398,34537,192906,4916064,49
