phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,829,828,4533,29162,660608,74
2,248,246,3956,25355,576140,63
3,110,109,3532,21866,511304,56
4,133,133,3082,18562,444088,49
5,123,123,2793,16422,400848,43
6,75,74,2524,14146,359464,39
7,69,69,2334,12380,329600,35
8,39,39,2108,10787,296108,32
9,68,68,1933,9264,269016,29
10,52,52,1694,7682,234008,26
11,81,80,1538,6415,210220,23
12,43,43,1368,5325,185460,21
13,37,37,1257,4489,168796,18
14,47,46,1128,3711,150204,17
15,42,42,1033,3078,136272,15
16,54,54,928,2571,121644,13
17,47,47,781,2047,101908,12
18,41,40,679,1675,88180,10
19,32,32,596,1338,76872,9
20,32,31,382,711,48684,8
21,46,45,199,312,25128,5
22,50,48,75,96,9384,2
