phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,11349,887216,4910744,110
2,11248,847265,4738820,97
3,11184,823100,4634480,94
4,11128,809701,4574164,92
5,11063,790988,4491512,91
6,10991,775059,4419156,89
7,10932,760318,4353112,88
8,10882,746246,4290824,86
9,10821,732564,4228776,85
10,10741,718657,4163548,84
11,10672,705961,4104484,83
12,10506,694787,4039868,82
13,10382,681806,3973064,80
14,10304,667808,3907712,79
15,10233,657312,3857208,78
16,10194,641846,3790664,77
17,10097,631853,3739052,75
18,10007,618785,3675980,74
19,9954,608132,3627008,73
20,9902,598281,3581364,72
21,9815,588492,3531768,71
22,9729,580392,3489048,70
23,9674,568587,3435228,69
24,9619,555244,3375256,68
25,9525,540729,3305916,67
26,9419,526058,3234512,66
27,9303,511451,3162164,64
28,9189,497185,3091420,63
29,9115,480523,3015892,61
30,9024,465683,2945612,60
31,8960,450952,2879008,59
32,8852,434097,2798628,57
33,8709,417407,2714708,56
34,8615,403217,2646668,54
35,8475,390277,2578108,53
36,8392,378258,2520072,51
37,8278,364769,2452436,50
38,8196,351031,2387644,49
39,8089,338129,2323196,48
40,8021,325050,2262720,46
41,7927,311641,2197804,45
42,7817,299409,2135676,44
43,7706,287082,2073048,43
44,7593,274760,2010200,41
45,7455,261759,1941636,40
46,7285,248849,1869596,39
47,7182,236164,1806496,37
48,6912,221174,1714136,36
49,6718,206732,1633088,34
50,6479,192759,1548516,33
51,6225,178830,1462320,31
52,5947,165319,1374916,29
53,5650,151262,1283048,28
54,5298,139329,1193076,26
55,5062,126535,1113580,24
56,4772,114012,1028688,22
57,4531,103849,959116,21
58,4266,94083,888252,19
59,4024,83731,817804,18
60,3821,73702,753328,17
61,3568,65538,690312,15
62,3265,57278,620912,14
63,2983,46915,545620,13
64,2612,37176,462144,11
65,2311,28457,391148,10
66,2087,20076,330744,8
67,1867,13087,276388,7
68,1595,8932,227128,6
69,1215,4907,165428,5
70,799,2688,106632,4
71,387,893,50012,3
