phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
1,75327,1165956,13703064,165
2,69871,922797,12075708,134
3,64943,769348,10870552,119
4,61783,639943,9973732,107
5,59258,552217,9319828,98
6,57245,477425,8779100,92
7,55903,419939,8388116,86
8,54704,376696,8071264,82
9,53619,345179,7814996,79
10,52704,316603,7590892,77
11,51892,293781,7402164,75
12,51115,274891,7233364,73
13,50448,258557,7087988,71
14,49844,245666,6963944,70
15,49262,233419,6845116,69
16,48722,222671,6737324,67
17,48143,213791,6632324,66
18,47604,207336,6541824,65
19,47060,201340,6452560,64
20,46399,195556,6350104,64
21,45633,188595,6230340,63
22,44813,181442,6103328,61
23,43837,173227,5953348,60
24,42832,165112,5800288,59
25,41758,157058,5639192,57
26,40521,148842,5457888,56
27,39310,141031,5281324,54
28,38107,132985,5104780,52
29,36754,124861,4909924,50
30,35336,116936,4708064,48
31,33977,108914,4512896,47
32,32492,101519,4305116,45
33,31112,94710,4112280,43
34,29608,88155,3905580,41
35,28105,81619,3699076,39
36,26716,75517,3507988,37
37,25175,69732,3299928,35
38,23830,64261,3116644,33
39,22406,58872,2924208,31
40,21122,54254,2751656,29
41,19735,49657,2566828,27
42,18471,45745,2399500,26
43,17233,42062,2236208,24
44,15959,38297,2068268,22
45,14696,34823,1902812,21
46,13626,31677,1761828,19
47,12580,28716,1624464,18
48,11486,25776,1481424,16
49,10457,22984,1346776,15
50,9411,20483,1211252,14
51,8438,18095,1084940,12
52,7346,15609,943956,11
53,6291,13165,807580,10
54,5288,11065,678820,8
55,4438,9150,569160,7
56,3565,6981,455724,6
57,2665,5116,340264,5
58,1830,3459,233436,4
59,943,1662,119808,3
60,153,241,19324,2
